evaluations raw_y
1 48.0000000000
2 51.0000000000
4 57.0000000000
5 58.0000000000
23 59.0000000000
43 61.0000000000
49 67.0000000000
4906 69.0000000000
32775 70.0000000000
114268 72.0000000000
157454 73.0000000000
500000 59.0000000000
evaluations raw_y
1 58.0000000000
6 59.0000000000
9 61.0000000000
66 64.0000000000
1527 65.0000000000
1835 66.0000000000
2200 67.0000000000
6985 68.0000000000
29017 71.0000000000
212353 72.0000000000
500000 53.0000000000
evaluations raw_y
1 39.0000000000
2 51.0000000000
3 52.0000000000
7 53.0000000000
8 59.0000000000
28 60.0000000000
133 64.0000000000
885 65.0000000000
1786 66.0000000000
2999 68.0000000000
8803 69.0000000000
14243 75.0000000000
168792 78.0000000000
500000 52.0000000000
evaluations raw_y
1 49.0000000000
3 52.0000000000
5 58.0000000000
36 61.0000000000
49 63.0000000000
236 64.0000000000
1607 65.0000000000
7652 66.0000000000
12619 67.0000000000
15922 68.0000000000
17224 69.0000000000
28450 73.0000000000
500000 55.0000000000
evaluations raw_y
1 49.0000000000
3 53.0000000000
7 58.0000000000
75 62.0000000000
114 67.0000000000
1996 69.0000000000
4629 72.0000000000
113198 73.0000000000
500000 57.0000000000
evaluations raw_y
1 52.0000000000
5 53.0000000000
8 57.0000000000
16 62.0000000000
59 63.0000000000
217 64.0000000000
1111 66.0000000000
5931 69.0000000000
21790 70.0000000000
63808 73.0000000000
230116 75.0000000000
500000 48.0000000000
evaluations raw_y
1 45.0000000000
2 48.0000000000
3 53.0000000000
6 55.0000000000
7 58.0000000000
10 60.0000000000
50 63.0000000000
214 65.0000000000
606 69.0000000000
38825 70.0000000000
94518 51.0000000000
