evaluations raw_y
1 58.0000000000
28 59.0000000000
38 61.0000000000
151 62.0000000000
223 63.0000000000
302 64.0000000000
867 65.0000000000
1233 66.0000000000
4969 67.0000000000
5663 68.0000000000
19766 70.0000000000
118475 72.0000000000
262450 74.0000000000
500000 46.0000000000
evaluations raw_y
1 37.0000000000
2 41.0000000000
3 60.0000000000
54 61.0000000000
229 62.0000000000
738 63.0000000000
860 65.0000000000
1338 67.0000000000
7620 70.0000000000
37767 71.0000000000
296503 72.0000000000
500000 50.0000000000
evaluations raw_y
1 52.0000000000
2 55.0000000000
21 58.0000000000
118 61.0000000000
239 65.0000000000
466 66.0000000000
797 68.0000000000
19192 69.0000000000
38632 70.0000000000
105407 71.0000000000
500000 50.0000000000
evaluations raw_y
1 44.0000000000
2 46.0000000000
4 49.0000000000
5 55.0000000000
15 60.0000000000
19 65.0000000000
681 66.0000000000
1727 67.0000000000
15351 68.0000000000
18726 70.0000000000
113395 71.0000000000
150942 72.0000000000
246602 45.0000000000
