evaluations raw_y
1 46.0000000000
2 51.0000000000
4 52.0000000000
5 53.0000000000
6 56.0000000000
23 58.0000000000
43 59.0000000000
44 65.0000000000
1000 66.0000000000
1324 68.0000000000
9295 69.0000000000
18779 70.0000000000
59227 71.0000000000
100000 56.0000000000
evaluations raw_y
1 59.0000000000
3 60.0000000000
46 61.0000000000
58 62.0000000000
530 64.0000000000
1499 65.0000000000
1825 66.0000000000
2079 69.0000000000
95533 70.0000000000
100000 57.0000000000
evaluations raw_y
1 44.0000000000
2 50.0000000000
5 53.0000000000
6 55.0000000000
9 66.0000000000
280 68.0000000000
8719 70.0000000000
31608 71.0000000000
100000 55.0000000000
evaluations raw_y
1 45.0000000000
2 52.0000000000
6 59.0000000000
141 63.0000000000
179 65.0000000000
306 67.0000000000
6810 68.0000000000
31110 69.0000000000
66984 73.0000000000
100000 62.0000000000
evaluations raw_y
1 51.0000000000
3 56.0000000000
10 62.0000000000
44 64.0000000000
245 66.0000000000
964 67.0000000000
11427 68.0000000000
30205 69.0000000000
100000 52.0000000000
evaluations raw_y
1 43.0000000000
2 47.0000000000
3 51.0000000000
4 54.0000000000
18 59.0000000000
143 60.0000000000
414 63.0000000000
491 66.0000000000
2120 68.0000000000
9435 69.0000000000
40427 71.0000000000
100000 35.0000000000
evaluations raw_y
1 50.0000000000
2 52.0000000000
5 56.0000000000
6 59.0000000000
34 64.0000000000
72 65.0000000000
3104 66.0000000000
6195 68.0000000000
20294 70.0000000000
95123 71.0000000000
100000 45.0000000000
evaluations raw_y
1 46.0000000000
2 52.0000000000
3 53.0000000000
8 59.0000000000
25 63.0000000000
185 64.0000000000
520 65.0000000000
2300 68.0000000000
11116 69.0000000000
83024 71.0000000000
100000 54.0000000000
evaluations raw_y
1 57.0000000000
4 58.0000000000
15 63.0000000000
92 64.0000000000
316 67.0000000000
6812 68.0000000000
30955 71.0000000000
45469 74.0000000000
100000 49.0000000000
evaluations raw_y
1 43.0000000000
2 56.0000000000
36 60.0000000000
68 63.0000000000
295 64.0000000000
1507 67.0000000000
1764 68.0000000000
3155 73.0000000000
100000 43.0000000000
evaluations raw_y
1 46.0000000000
2 47.0000000000
3 48.0000000000
4 55.0000000000
8 57.0000000000
11 62.0000000000
35 63.0000000000
119 64.0000000000
372 65.0000000000
481 67.0000000000
2841 71.0000000000
100000 47.0000000000
evaluations raw_y
1 46.0000000000
2 52.0000000000
3 53.0000000000
4 56.0000000000
10 58.0000000000
24 61.0000000000
48 67.0000000000
334 70.0000000000
11169 71.0000000000
100000 45.0000000000
evaluations raw_y
1 49.0000000000
2 50.0000000000
3 51.0000000000
4 55.0000000000
22 57.0000000000
48 58.0000000000
76 59.0000000000
80 60.0000000000
93 67.0000000000
6488 68.0000000000
8249 69.0000000000
29794 71.0000000000
100000 53.0000000000
evaluations raw_y
1 43.0000000000
2 58.0000000000
14 59.0000000000
58 60.0000000000
60 61.0000000000
226 63.0000000000
416 64.0000000000
1071 67.0000000000
3873 68.0000000000
6201 69.0000000000
27552 70.0000000000
100000 51.0000000000
evaluations raw_y
1 46.0000000000
2 59.0000000000
28 69.0000000000
74320 72.0000000000
100000 45.0000000000
evaluations raw_y
1 52.0000000000
8 54.0000000000
14 57.0000000000
15 62.0000000000
525 63.0000000000
907 64.0000000000
937 65.0000000000
2611 67.0000000000
7987 68.0000000000
9379 70.0000000000
81741 72.0000000000
100000 45.0000000000
evaluations raw_y
1 55.0000000000
2 60.0000000000
34 61.0000000000
60 63.0000000000
658 66.0000000000
6705 67.0000000000
11927 70.0000000000
90859 72.0000000000
100000 50.0000000000
evaluations raw_y
1 55.0000000000
5 57.0000000000
30 60.0000000000
31 63.0000000000
286 64.0000000000
671 67.0000000000
1066 68.0000000000
22624 69.0000000000
39335 75.0000000000
100000 50.0000000000
evaluations raw_y
1 46.0000000000
2 47.0000000000
3 49.0000000000
4 51.0000000000
9 53.0000000000
13 55.0000000000
18 56.0000000000
28 57.0000000000
76 58.0000000000
83 59.0000000000
136 61.0000000000
370 63.0000000000
819 64.0000000000
1810 67.0000000000
2666 69.0000000000
