evaluations raw_y
1 1.1399908801
10 1.1536686664
15 1.2248897599
18 1.2518778167
19 1.2946659762
21 1.4872099941
24 1.5069318867
26 1.7373175817
42 1.8368846436
49 2.0408163265
54 2.2104332449
55 2.2872827081
59 2.3696682464
65 2.4295432459
89 2.4826216485
240 2.6123301985
322 2.6288117771
364 2.7144408252
470 2.7808676307
478 2.8121484814
504 2.8184892897
521 3.0826140567
597 3.0902348578
654 3.2765399738
692 3.5063113604
920 3.5161744023
1046 3.5663338088
1093 3.8639876352
1227 3.9246467818
36570 4.0257648953
100000 1.8726591760
evaluations raw_y
1 1.2893243940
2 1.3319126265
11 1.4409221902
23 1.4492753623
30 1.4679976512
36 1.4872099941
37 1.7869907076
57 1.9825535289
60 2.2421524664
67 2.4679170780
82 2.5025025025
102 2.5278058645
104 2.5853154085
112 2.5906735751
119 2.9655990510
121 3.0450669915
257 3.3288948069
320 3.4867503487
338 3.5360678925
4668 3.5561877667
8581 3.6390101892
8610 3.7369207773
8632 3.7707390649
9003 3.9246467818
9026 4.0916530278
100000 4.0916530278
evaluations raw_y
1 1.0902747492
2 1.1431184271
5 1.1655011655
7 1.2048192771
16 1.3095861708
18 1.3137151865
20 1.4979029359
30 1.7421602787
33 1.7743080199
38 1.8839487566
54 2.1204410517
68 2.1758050479
76 2.2789425706
121 2.3430178069
136 2.5075225677
158 2.6288117771
164 2.6343519494
201 2.6968716289
210 2.7027027027
255 2.7932960894
273 3.2010243278
11058 3.2175032175
11234 3.2679738562
11319 3.4199726402
11483 3.4674063800
11572 3.5561877667
11789 3.5663338088
11911 3.8167938931
12013 3.8520801233
100000 2.3651844844
evaluations raw_y
1 1.2141816416
6 1.2406947891
10 1.2581781580
13 1.2671059301
16 1.3304949441
36 1.5142337977
37 1.5384615385
59 1.6972165648
62 1.8726591760
65 1.9638648861
78 2.0644095789
88 2.0746887967
89 2.2261798753
138 2.3386342376
141 2.4248302619
150 2.4679170780
152 2.4925224327
158 2.6014568158
184 2.7322404372
270 2.7870680045
273 2.9377203290
284 2.9446407538
300 3.0084235860
316 3.1605562579
809 3.3025099075
3642 3.4674063800
3748 3.5360678925
3772 3.7821482602
78977 3.7936267071
79015 3.9246467818
100000 3.2594524120
evaluations raw_y
1 0.7407407407
2 0.8051529791
6 0.8931761343
11 1.0688328345
12 1.2013455070
14 1.3095861708
17 1.5954052329
32 1.6139444803
33 1.7182130584
34 1.8208302986
36 1.8234865062
48 2.3562676720
58 2.3786869648
77 2.5588536336
145 3.0229746070
157 3.0450669915
446 3.1133250311
450 3.1367628607
515 3.1446540881
523 3.2679738562
922 3.3288948069
1032 3.4674063800
1170 3.4770514604
1363 3.4867503487
1380 3.9123630673
4929 3.9370078740
5114 4.1876046901
5151 4.2016806723
5289 4.3478260870
82242 4.3630017452
82710 4.3782837128
82734 4.5871559633
82978 4.6728971963
83089 4.6904315197
100000 3.0303030303
evaluations raw_y
1 1.0275380189
3 1.0447137484
4 1.1106175033
5 1.1195700851
9 1.1731581417
10 1.2272950417
22 1.2333497780
25 1.2357884330
28 1.3974287311
32 1.4925373134
43 1.5179113540
44 1.6611295681
48 1.7325017325
69 1.8102824041
72 1.8754688672
79 1.9425019425
88 1.9762845850
96 2.0112630732
120 2.1385799829
122 2.3342670401
129 2.3832221163
131 2.4485798237
175 2.4826216485
183 2.5025025025
189 2.6910656620
218 2.9797377831
236 3.5260930889
243 3.6603221083
76248 3.6818851252
100000 3.6818851252
evaluations raw_y
1 1.2683916794
7 1.3206550449
8 1.3276686139
12 1.5087507544
15 1.5124016939
31 1.6589250166
35 1.7494751575
36 1.7519271198
44 1.7543859649
45 1.7768301350
50 1.7998560115
59 1.9984012790
92 2.0308692120
96 2.2301516503
133 2.2665457842
135 2.2956841139
143 2.4437927664
158 2.4582104228
223 2.6567481403
400 2.7808676307
462 2.7870680045
497 2.8184892897
501 2.8968713789
517 2.9308323564
645 2.9515938607
821 3.0156815440
1180 3.1605562579
1727 3.2938076416
1801 3.3025099075
1802 3.5360678925
1881 3.5868005739
1932 3.5971223022
2232 3.6075036075
2238 3.6390101892
2248 3.6927621861
2521 3.7481259370
2539 3.8051750381
2582 3.8402457757
37576 4.0650406504
38013 4.1876046901
38116 4.3782837128
38268 4.4247787611
48866 4.5207956600
100000 2.9868578256
evaluations raw_y
1 0.8713837574
2 0.9317927693
4 1.2297097885
9 1.2531328321
10 1.3462574044
18 1.3958682300
23 1.5069318867
39 1.5693659761
48 1.6202203500
54 1.7064846416
58 1.7182130584
60 1.7642907551
62 2.0210185934
66 2.0275750203
71 2.2261798753
78 2.5176233635
84 2.5641025641
109 2.7746947836
118 2.8968713789
148 3.0012004802
171 3.0525030525
181 3.1525851198
223 3.1928480204
287 3.2092426187
396 3.6710719530
509 3.7936267071
668 3.8759689922
69716 4.1050903120
84408 4.1876046901
84447 4.4404973357
100000 2.6399155227
evaluations raw_y
1 1.0950503723
5 1.1185682327
6 1.2248897599
7 1.2321340562
8 1.3361838589
13 1.3683634373
17 1.3943112103
18 1.5832805573
21 1.6035920462
30 1.7869907076
39 1.7998560115
41 1.8504811251
56 1.8642803878
85 1.9305019305
97 2.1758050479
104 2.1872265967
140 2.2026431718
162 2.2542831380
170 2.4679170780
611 2.5329280648
633 2.5693730730
710 2.6624068158
717 2.6910656620
720 2.9103608847
740 3.2010243278
791 3.2175032175
805 3.2765399738
1104 3.3025099075
1219 3.3467202142
1260 3.3738191633
1340 3.4965034965
1406 3.7369207773
8250 3.8051750381
27993 3.8520801233
28072 3.8639876352
28223 4.0257648953
35808 4.1736227045
35946 4.5871559633
36088 4.7438330171
100000 2.9797377831
evaluations raw_y
1 0.8437394533
5 0.8523695875
6 1.1820330969
10 1.2059816691
13 1.2431626057
15 1.2518778167
16 1.3462574044
17 1.4021312395
20 1.4766686356
26 1.5792798484
29 1.8050541516
33 1.9245573518
40 2.0275750203
83 2.0781379884
91 2.0990764064
165 2.1910604733
178 2.2421524664
186 2.2956841139
201 2.3832221163
203 2.4390243902
264 2.5125628141
267 2.5176233635
280 2.5746652935
309 2.6910656620
327 2.7203482046
671 2.7502750275
784 2.8058361392
805 2.8376844495
1080 2.8441410694
1141 2.8768699655
1186 2.9940119760
1361 3.0012004802
1505 3.0674846626
1621 3.1055900621
1713 3.1928480204
1916 3.3200531208
1959 3.3467202142
2180 3.6075036075
28758 3.8284839204
46380 3.9745627981
46448 4.0128410915
100000 2.9036004646
