evaluations raw_y
1 1.4068655037
3 1.4442518775
5 1.4801657786
6 1.4854426619
11 1.5384615385
12 1.6458196182
13 1.6479894529
28 1.8076644975
30 1.9394879752
41 1.9984012790
46 2.2065313327
74 2.2182786158
89 2.3299161230
95 2.3342670401
112 2.5176233635
114 2.5536261491
115 2.5906735751
128 2.7685492802
141 2.8121484814
165 2.8441410694
168 2.8768699655
266 3.0978934325
286 3.2175032175
306 3.2765399738
421 3.3377837116
445 3.3647375505
496 3.4106412005
503 3.5561877667
528 3.6284470247
590 3.6390101892
647 3.6496350365
676 3.8167938931
680 3.9246467818
100000 3.0978934325
evaluations raw_y
1 1.1786892975
2 1.2709710219
3 1.4196479273
4 1.4543339151
5 1.5271838729
6 1.5441630636
8 1.5812776724
11 1.6244314490
14 1.6523463318
15 1.8024513338
19 1.8208302986
20 1.9069412662
25 1.9888623707
28 2.0112630732
29 2.0210185934
34 2.2914757104
36 2.3651844844
39 2.4061597690
62 2.4390243902
69 2.5025025025
79 2.7382256298
81 3.0525030525
121 3.0599755202
356 3.0978934325
100000 2.8121484814
evaluations raw_y
1 1.3989927252
2 1.4628437683
7 1.5105740181
8 1.5733165513
11 1.6677785190
13 1.7895490336
15 1.8559762435
18 1.9098548510
25 1.9186492709
30 2.2065313327
31 2.2502250225
44 2.3299161230
49 2.4061597690
50 2.4108003857
53 2.4533856722
63 2.5075225677
70 2.6511134677
71 2.7502750275
120 2.8702640643
146 2.9446407538
147 2.9515938607
194 3.2175032175
214 3.2425421530
226 3.6075036075
659 3.6818851252
715 3.7147102526
100000 3.0376670717
evaluations raw_y
1 1.1600928074
5 1.2321340562
7 1.2866700978
8 1.3206550449
10 1.4442518775
15 1.4662756598
18 1.5913430936
26 1.6265452180
30 1.6722408027
31 1.6972165648
36 1.9069412662
37 2.1385799829
38 2.1422450728
47 2.3299161230
72 2.3969319271
74 2.4015369837
107 2.4248302619
113 2.4485798237
119 2.6068821689
136 2.7746947836
146 2.8968713789
168 3.0303030303
196 3.0978934325
247 3.2010243278
262 3.3829499323
275 3.4106412005
354 3.4578146611
100000 3.2175032175
evaluations raw_y
1 1.1956001913
2 1.5051173992
4 1.7277125086
5 1.7593244194
6 1.7667844523
18 1.8261504748
19 1.8839487566
26 1.9275250578
29 2.2182786158
35 2.3041474654
44 2.4437927664
57 2.5380710660
67 2.6399155227
96 2.7382256298
103 2.8184892897
117 2.8248587571
126 2.8312570781
134 3.0902348578
144 3.1446540881
159 3.1847133758
194 3.3467202142
258 3.3557046980
316 3.4199726402
375 3.6284470247
422 3.7037037037
100000 3.3738191633
evaluations raw_y
1 0.6211180124
2 0.7064142413
3 0.7573462587
5 0.8671522719
7 0.8887308923
13 0.8893632159
14 0.9494872769
16 0.9815469179
20 1.0060362173
22 1.1933174224
24 1.3579576317
25 1.4714537964
28 1.5812776724
30 1.6329196604
38 1.8477457502
39 1.9069412662
40 1.9275250578
42 1.9607843137
44 2.0210185934
52 2.0508613618
53 2.1097046414
61 2.1720243267
76 2.2381378693
81 2.2665457842
85 2.3126734505
95 2.3169601483
100 2.3474178404
105 2.4248302619
108 2.4390243902
128 2.6399155227
147 2.7144408252
162 3.1133250311
184 3.2010243278
264 3.2425421530
327 3.2851511170
358 3.5161744023
385 3.5260930889
440 3.5360678925
605 3.6927621861
100000 2.6968716289
evaluations raw_y
1 1.2632642749
3 1.4132278123
4 1.4277555682
12 1.6523463318
13 1.6677785190
15 1.8050541516
19 2.1276595745
31 2.1459227468
34 2.2104332449
41 2.4015369837
89 2.5125628141
98 2.5176233635
100 2.5329280648
101 2.5799793602
111 2.5960539979
139 2.6232948583
157 2.7808676307
165 3.1055900621
204 3.1133250311
323 3.1685678074
100000 2.8968713789
evaluations raw_y
1 1.3881177124
2 1.4997000600
4 1.6880486158
5 1.8024513338
7 1.9098548510
20 1.9186492709
22 1.9952114924
26 2.0112630732
34 2.0145044319
37 2.3342670401
39 2.4485798237
44 2.4630541872
53 2.5484199796
58 2.5641025641
76 2.6567481403
86 2.7685492802
101 2.7746947836
113 2.8835063437
132 3.2341526520
182 3.4387895461
197 3.4674063800
100000 2.9515938607
evaluations raw_y
1 1.1899095669
3 1.2382367509
4 1.3178703216
5 1.3192612137
8 1.3376136972
11 1.4021312395
13 1.5615240475
14 1.6077170418
15 1.6097875080
18 1.8341892883
21 1.8811136193
27 1.9245573518
28 2.0955574183
37 2.1132713440
41 2.1312872975
43 2.2104332449
51 2.3923444976
69 2.4630541872
74 2.4975024975
75 2.5227043391
93 2.8248587571
109 2.8571428571
110 3.1367628607
180 3.1928480204
181 3.4293552812
185 3.5360678925
244 3.5663338088
100000 3.1605562579
evaluations raw_y
1 1.0570824524
4 1.0855405992
6 1.0902747492
7 1.3653741125
10 1.4766686356
16 1.5365703749
18 1.6436554898
21 1.7182130584
24 1.8867924528
25 2.1276595745
30 2.3562676720
39 2.4533856722
61 2.5075225677
70 2.6511134677
73 2.9308323564
83 2.9515938607
174 3.1367628607
202 3.2258064516
210 3.3025099075
214 3.3112582781
100000 2.7995520717
