evaluations raw_y
1 0.9194556822
2 1.0817827780
3 1.2774655084
5 1.5913430936
20 1.7253278123
361 1.7277125086
562 1.8288222385
657 2.0781379884
2591 2.1720243267
19829 2.2104332449
73695 2.3084025854
100000 0.8465966813
evaluations raw_y
1 1.0597710894
4 1.2468827930
6 1.5634771732
49 1.6633399867
52 1.6995241332
275 1.7111567420
451 1.7543859649
470 2.1168501270
4131 2.2999080037
47633 2.3651844844
50262 2.4485798237
81587 2.7746947836
100000 1.1116051578
evaluations raw_y
1 1.5832805573
92 1.6903313049
218 1.7844396859
432 1.8050541516
2720 1.8726591760
3726 1.9275250578
6350 1.9577133908
7308 2.0576131687
19888 2.0712510356
30444 2.1240441801
32395 2.1533161068
60755 2.1682567216
66615 2.4679170780
100000 0.7509762691
evaluations raw_y
1 1.0817827780
6 1.1165698973
9 1.1462631820
10 1.2671059301
17 1.4889815366
23 1.5216068168
58 1.6139444803
117 1.7921146953
143 1.8504811251
998 1.8726591760
1306 1.9098548510
1766 1.9186492709
4636 2.0016012810
5195 2.2872827081
65172 2.4925224327
100000 0.8151287903
evaluations raw_y
1 1.1225864392
4 1.2248897599
7 1.4611338399
39 1.5271838729
88 1.5873015873
223 1.6789791807
389 1.6857720836
482 1.7064846416
1034 1.8050541516
2835 2.0145044319
7169 2.0885547201
10413 2.1834061135
55748 2.2747952684
100000 1.3433637829
evaluations raw_y
1 1.0455876202
3 1.0679196924
4 1.2468827930
6 1.2933264356
8 1.5069318867
65 1.7568517217
672 1.8982536067
833 2.1097046414
1365 2.2065313327
7649 2.2583559169
52700 2.3562676720
100000 0.8793527963
evaluations raw_y
1 0.9838646202
3 1.0133765707
4 1.0526315789
5 1.2297097885
7 1.2394645513
12 1.2960082945
15 1.3333333333
29 1.7421602787
1034 2.0542317173
9816 2.0955574183
35153 2.3126734505
100000 0.8319467554
evaluations raw_y
1 1.0292301359
3 1.6181229773
54 1.6545334216
116 1.7041581459
349 1.7301038062
455 1.9275250578
1368 1.9952114924
2097 2.0016012810
7763 2.0275750203
12421 2.0990764064
34216 2.1026072330
40642 2.1910604733
67566 2.2261798753
71859 2.3562676720
100000 1.1195700851
evaluations raw_y
1 0.6993006993
2 0.9611687812
3 1.1431184271
6 1.7692852088
31 1.8076644975
581 1.8181818182
713 1.8670649739
1048 1.8811136193
1615 1.9305019305
2712 2.1385799829
15024 2.2261798753
34907 2.2542831380
73531 2.3342670401
100000 1.1990407674
evaluations raw_y
1 1.3206550449
10 1.4925373134
36 1.5913430936
91 1.5974440895
100 1.6265452180
148 1.6479894529
213 1.6903313049
245 1.8102824041
1189 1.9731649566
2303 1.9762845850
4647 2.1607605877
4805 2.1872265967
14001 2.1987686895
32130 2.2104332449
33960 2.2624434389
59097 2.3041474654
100000 0.8194034743
evaluations raw_y
1 0.9641342075
3 0.9807767752
5 1.0421008754
6 1.2619888945
10 1.4731879788
69 1.6223231668
118 1.8315018315
479 2.2222222222
69756 2.2301516503
100000 1.1798017933
evaluations raw_y
1 0.7136739937
3 1.4293882218
13 1.4392630973
15 1.4560279557
84 1.5772870662
126 1.6286644951
199 1.6307893020
207 1.6949152542
408 1.7041581459
437 1.7568517217
461 1.8129079043
722 1.9984012790
1956 2.0177562550
2560 2.1758050479
22774 2.1795989538
46233 2.2222222222
63204 2.2341376229
70368 2.2665457842
100000 1.1155734047
evaluations raw_y
1 1.0117361392
2 1.4475969890
13 1.5033072760
30 1.5271838729
31 1.6244314490
73 1.6611295681
207 1.7397355602
343 1.8587360595
591 1.9157088123
2526 1.9516003123
3388 1.9607843137
3492 2.0408163265
22271 2.2956841139
35551 2.3041474654
100000 1.0706638116
evaluations raw_y
1 0.5769674590
2 1.2201073694
3 1.3361838589
5 1.5852885225
109 2.0610057708
10621 2.0920502092
26857 2.1533161068
46406 2.3126734505
100000 0.7819831092
evaluations raw_y
1 1.1057054401
3 1.3638843426
11 1.3683634373
16 1.4005602241
26 1.4084507042
27 1.7972681524
188 1.8395879323
1004 1.8925056775
1650 2.0408163265
8110 2.0920502092
10432 2.1607605877
36049 2.3832221163
100000 0.8830801837
evaluations raw_y
1 1.2813941568
28 1.4836795252
35 1.5328019620
85 1.6097875080
157 1.7642907551
877 2.0210185934
1817 2.0441537204
26490 2.0542317173
27656 2.1459227468
66261 2.2999080037
96036 2.3518344309
100000 0.9777082519
evaluations raw_y
1 0.9331840239
2 1.0836584309
4 1.1296882061
11 1.2444001991
18 1.3150973172
20 1.4116318464
38 1.5142337977
44 1.5253203173
64 1.6611295681
228 1.7642907551
360 1.8155410312
504 1.8754688672
2213 1.8953752843
2594 1.9762845850
2981 2.0210185934
6107 2.0341741253
13859 2.0885547201
21213 2.2502250225
58167 2.2872827081
100000 1.3520822066
evaluations raw_y
1 1.2201073694
2 1.2321340562
5 1.3164823591
9 1.4277555682
28 1.6567263088
91 1.8155410312
997 1.8726591760
1059 2.0112630732
8963 2.0408163265
11317 2.0678246485
24516 2.1132713440
29313 2.1872265967
29834 2.2261798753
30236 2.2341376229
43019 2.2831050228
60380 2.3651844844
100000 1.3638843426
evaluations raw_y
1 0.8683570684
2 0.9701202949
3 1.0855405992
4 1.2345679012
7 1.4212620807
51 1.8615040953
1915 1.8726591760
2045 1.8839487566
2939 1.9455252918
3885 2.0441537204
4979 2.1276595745
15307 2.6852846402
100000 1.0052271813
evaluations raw_y
1 0.7756748371
2 1.2236906510
5 1.3041210224
19 1.3333333333
30 1.3758943313
31 1.3774104683
44 1.4084507042
46 1.5460729746
130 1.6265452180
291 1.8368846436
651 2.1834061135
24444 2.3169601483
100000 1.0334849111
evaluations raw_y
1 1.2406947891
3 1.2645422357
4 1.3835085778
43 1.6393442623
293 1.9069412662
1836 1.9157088123
4121 2.2624434389
100000 1.2543903663
evaluations raw_y
1 1.2431626057
3 1.5479876161
42 1.5576323988
121 1.9040365575
836 1.9098548510
2901 2.0475020475
6978 2.1240441801
35605 2.1607605877
61248 2.2624434389
100000 1.4376078206
evaluations raw_y
