evaluations raw_y
1 1.0000000000
41 3.0000000000
78 4.0000000000
261 5.0000000000
303 7.0000000000
555 9.0000000000
792 11.0000000000
808 12.0000000000
905 13.0000000000
1120 14.0000000000
1162 17.0000000000
1170 18.0000000000
1188 19.0000000000
1327 20.0000000000
1415 21.0000000000
1437 23.0000000000
1440 24.0000000000
1472 27.0000000000
1517 28.0000000000
1541 30.0000000000
1693 31.0000000000
1722 32.0000000000
1746 33.0000000000
1758 38.0000000000
1789 41.0000000000
1798 42.0000000000
1816 43.0000000000
1828 48.0000000000
1926 49.0000000000
2287 50.0000000000
2334 51.0000000000
2742 52.0000000000
2821 53.0000000000
2900 54.0000000000
2940 55.0000000000
3090 59.0000000000
3358 62.0000000000
3846 65.0000000000
3935 66.0000000000
5365 67.0000000000
5614 68.0000000000
6100 69.0000000000
6178 74.0000000000
6197 81.0000000000
6974 82.0000000000
7151 84.0000000000
7231 86.0000000000
7599 88.0000000000
8425 91.0000000000
8435 92.0000000000
8784 94.0000000000
8806 96.0000000000
8985 98.0000000000
9617 100.0000000000
evaluations raw_y
1 0.0000000000
60 2.0000000000
362 3.0000000000
529 5.0000000000
660 8.0000000000
736 10.0000000000
776 11.0000000000
783 13.0000000000
793 17.0000000000
851 18.0000000000
892 19.0000000000
989 20.0000000000
1161 23.0000000000
1453 25.0000000000
1543 27.0000000000
1743 28.0000000000
1922 30.0000000000
2072 34.0000000000
2193 36.0000000000
2248 40.0000000000
2277 42.0000000000
2657 44.0000000000
2742 45.0000000000
2912 48.0000000000
4148 49.0000000000
4379 50.0000000000
4443 51.0000000000
4453 52.0000000000
4486 53.0000000000
4780 54.0000000000
5063 56.0000000000
5317 58.0000000000
5563 60.0000000000
5700 62.0000000000
5714 63.0000000000
5760 64.0000000000
5763 65.0000000000
6429 67.0000000000
6558 71.0000000000
6740 72.0000000000
6849 74.0000000000
7077 75.0000000000
7460 77.0000000000
7497 78.0000000000
7671 80.0000000000
8015 82.0000000000
8257 83.0000000000
8611 87.0000000000
8725 90.0000000000
9123 93.0000000000
9224 94.0000000000
9269 95.0000000000
10490 96.0000000000
10551 98.0000000000
10594 100.0000000000
evaluations raw_y
1 2.0000000000
110 13.0000000000
322 16.0000000000
533 17.0000000000
656 18.0000000000
759 20.0000000000
1091 21.0000000000
1459 25.0000000000
1839 26.0000000000
2073 27.0000000000
2113 28.0000000000
2268 29.0000000000
2363 33.0000000000
2558 35.0000000000
2582 37.0000000000
2686 38.0000000000
2786 39.0000000000
3453 42.0000000000
3712 43.0000000000
3955 44.0000000000
4265 46.0000000000
4398 52.0000000000
4414 54.0000000000
4491 55.0000000000
4611 58.0000000000
4748 59.0000000000
4853 61.0000000000
4929 63.0000000000
4977 65.0000000000
5204 66.0000000000
5342 69.0000000000
5452 70.0000000000
5457 71.0000000000
5731 72.0000000000
5875 73.0000000000
6383 78.0000000000
6551 79.0000000000
6748 80.0000000000
6770 81.0000000000
6895 83.0000000000
6910 84.0000000000
6944 87.0000000000
7085 89.0000000000
7453 90.0000000000
7602 91.0000000000
7676 93.0000000000
7815 95.0000000000
8769 96.0000000000
8862 97.0000000000
9693 98.0000000000
9934 99.0000000000
10031 100.0000000000
evaluations raw_y
1 0.0000000000
439 1.0000000000
631 3.0000000000
788 4.0000000000
793 5.0000000000
824 6.0000000000
960 7.0000000000
986 10.0000000000
1035 12.0000000000
1444 13.0000000000
1546 15.0000000000
1598 18.0000000000
1769 19.0000000000
1815 20.0000000000
1873 21.0000000000
1899 23.0000000000
1992 25.0000000000
2106 27.0000000000
2224 29.0000000000
2324 30.0000000000
2519 32.0000000000
2525 33.0000000000
2531 34.0000000000
2703 37.0000000000
2713 43.0000000000
3208 44.0000000000
3476 45.0000000000
3731 48.0000000000
3826 49.0000000000
3947 51.0000000000
3988 55.0000000000
4080 57.0000000000
4356 59.0000000000
4587 63.0000000000
4857 64.0000000000
4860 65.0000000000
4992 66.0000000000
5008 68.0000000000
5116 69.0000000000
5185 72.0000000000
5292 73.0000000000
5346 75.0000000000
5409 76.0000000000
5608 77.0000000000
5670 78.0000000000
5737 81.0000000000
6413 83.0000000000
6435 84.0000000000
6889 85.0000000000
7079 86.0000000000
7082 89.0000000000
7567 91.0000000000
7575 92.0000000000
7719 93.0000000000
8098 95.0000000000
8598 96.0000000000
9535 99.0000000000
9621 100.0000000000
evaluations raw_y
1 7.0000000000
313 8.0000000000
362 9.0000000000
396 10.0000000000
456 13.0000000000
590 16.0000000000
602 17.0000000000
683 18.0000000000
732 22.0000000000
1455 26.0000000000
1602 27.0000000000
1720 28.0000000000
1877 29.0000000000
2065 30.0000000000
2169 32.0000000000
2456 33.0000000000
2539 34.0000000000
2562 36.0000000000
3093 38.0000000000
3095 40.0000000000
3976 44.0000000000
4750 46.0000000000
5021 47.0000000000
5097 49.0000000000
5579 50.0000000000
5631 53.0000000000
5742 54.0000000000
5806 59.0000000000
6533 60.0000000000
6721 62.0000000000
6950 64.0000000000
7292 65.0000000000
8148 66.0000000000
8626 67.0000000000
8780 68.0000000000
9142 69.0000000000
9551 72.0000000000
9590 74.0000000000
9620 76.0000000000
9923 78.0000000000
10048 81.0000000000
10082 82.0000000000
10095 83.0000000000
10708 84.0000000000
11227 85.0000000000
11250 89.0000000000
11257 96.0000000000
11297 98.0000000000
11680 99.0000000000
11879 100.0000000000
evaluations raw_y
1 0.0000000000
56 1.0000000000
69 5.0000000000
84 6.0000000000
214 8.0000000000
282 9.0000000000
339 13.0000000000
457 14.0000000000
619 15.0000000000
818 16.0000000000
1014 18.0000000000
1068 20.0000000000
1425 21.0000000000
1519 23.0000000000
1635 24.0000000000
1743 28.0000000000
1768 29.0000000000
1783 30.0000000000
1810 31.0000000000
1829 34.0000000000
1839 37.0000000000
1862 39.0000000000
1925 42.0000000000
2053 43.0000000000
2552 44.0000000000
2609 46.0000000000
2612 47.0000000000
2898 49.0000000000
2909 51.0000000000
3031 52.0000000000
3413 53.0000000000
3449 56.0000000000
3479 58.0000000000
3544 59.0000000000
3858 62.0000000000
4084 64.0000000000
4095 69.0000000000
4149 71.0000000000
4350 76.0000000000
4532 78.0000000000
4550 80.0000000000
4770 81.0000000000
5166 83.0000000000
5742 85.0000000000
5944 86.0000000000
6800 88.0000000000
7034 89.0000000000
7340 90.0000000000
7406 92.0000000000
7807 93.0000000000
7917 94.0000000000
8091 95.0000000000
8292 96.0000000000
8542 97.0000000000
8712 100.0000000000
evaluations raw_y
1 1.0000000000
56 3.0000000000
138 6.0000000000
255 11.0000000000
442 12.0000000000
672 13.0000000000
767 14.0000000000
772 16.0000000000
909 18.0000000000
1143 19.0000000000
1165 20.0000000000
1287 21.0000000000
1461 23.0000000000
1613 24.0000000000
1646 25.0000000000
1717 26.0000000000
1802 27.0000000000
1815 29.0000000000
1914 30.0000000000
2013 34.0000000000
2070 35.0000000000
2143 38.0000000000
2590 39.0000000000
2811 43.0000000000
2971 44.0000000000
2984 45.0000000000
3032 46.0000000000
3321 48.0000000000
3338 50.0000000000
3611 51.0000000000
3804 52.0000000000
4167 54.0000000000
4200 60.0000000000
4288 66.0000000000
4357 68.0000000000
4378 71.0000000000
4558 73.0000000000
5080 77.0000000000
5132 81.0000000000
5465 83.0000000000
5533 85.0000000000
5592 87.0000000000
5813 88.0000000000
6212 89.0000000000
6685 90.0000000000
6692 91.0000000000
6713 95.0000000000
6805 96.0000000000
6905 98.0000000000
7015 100.0000000000
evaluations raw_y
1 0.0000000000
87 1.0000000000
130 2.0000000000
192 5.0000000000
