evaluations raw_y
1 0.0000000000
162 2.0000000000
222 5.0000000000
374 8.0000000000
420 10.0000000000
585 11.0000000000
636 12.0000000000
658 15.0000000000
808 17.0000000000
843 18.0000000000
906 19.0000000000
944 21.0000000000
993 23.0000000000
1273 25.0000000000
1377 26.0000000000
1549 28.0000000000
1559 30.0000000000
1606 31.0000000000
1651 33.0000000000
1730 34.0000000000
1741 36.0000000000
1839 39.0000000000
2004 43.0000000000
2014 45.0000000000
2029 47.0000000000
2063 48.0000000000
2144 49.0000000000
2233 52.0000000000
2293 53.0000000000
2296 54.0000000000
2301 55.0000000000
2613 63.0000000000
2845 65.0000000000
2889 67.0000000000
2994 73.0000000000
3159 74.0000000000
3179 77.0000000000
3210 78.0000000000
3235 79.0000000000
3395 81.0000000000
3418 83.0000000000
3423 85.0000000000
3686 87.0000000000
3710 91.0000000000
3930 95.0000000000
4143 97.0000000000
4209 98.0000000000
4225 99.0000000000
4632 100.0000000000
evaluations raw_y
1 1.0000000000
228 2.0000000000
303 3.0000000000
338 4.0000000000
409 9.0000000000
582 10.0000000000
728 12.0000000000
815 13.0000000000
844 15.0000000000
865 16.0000000000
1005 17.0000000000
1029 23.0000000000
1135 28.0000000000
1382 32.0000000000
1423 34.0000000000
1432 36.0000000000
1486 42.0000000000
1525 44.0000000000
1608 46.0000000000
1730 47.0000000000
1788 50.0000000000
1852 51.0000000000
1882 53.0000000000
2201 54.0000000000
2422 55.0000000000
2454 57.0000000000
2462 59.0000000000
2493 62.0000000000
2701 69.0000000000
2817 73.0000000000
2882 74.0000000000
2965 76.0000000000
2992 77.0000000000
3092 79.0000000000
3193 85.0000000000
3203 94.0000000000
3567 95.0000000000
3619 99.0000000000
3661 100.0000000000
evaluations raw_y
1 0.0000000000
56 6.0000000000
316 8.0000000000
341 9.0000000000
373 12.0000000000
689 13.0000000000
747 17.0000000000
912 20.0000000000
1070 23.0000000000
1230 24.0000000000
1552 25.0000000000
1590 30.0000000000
1611 34.0000000000
1624 36.0000000000
1757 37.0000000000
1781 39.0000000000
1804 40.0000000000
1900 42.0000000000
1994 44.0000000000
2116 46.0000000000
2348 47.0000000000
2395 49.0000000000
2470 51.0000000000
2838 52.0000000000
2843 55.0000000000
3001 56.0000000000
3002 57.0000000000
3044 58.0000000000
3050 60.0000000000
3197 64.0000000000
3543 65.0000000000
3606 69.0000000000
3741 73.0000000000
3788 75.0000000000
3879 76.0000000000
3987 77.0000000000
4097 78.0000000000
4113 79.0000000000
4124 83.0000000000
4271 87.0000000000
4273 89.0000000000
4314 93.0000000000
4530 97.0000000000
4558 100.0000000000
evaluations raw_y
1 2.0000000000
155 6.0000000000
164 8.0000000000
313 10.0000000000
340 11.0000000000
358 13.0000000000
488 17.0000000000
539 20.0000000000
