evaluations raw_y
1 1.0000000000
4 2.0000000000
9 3.0000000000
10 4.0000000000
17 6.0000000000
126 7.0000000000
244 8.0000000000
471 10.0000000000
582 12.0000000000
3179 13.0000000000
32970 16.0000000000
33956 17.0000000000
96516 18.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
30 6.0000000000
140 9.0000000000
1267 11.0000000000
1284 13.0000000000
29925 16.0000000000
100000 1.0000000000
evaluations raw_y
1 1.0000000000
3 3.0000000000
6 4.0000000000
27 5.0000000000
153 7.0000000000
330 8.0000000000
758 9.0000000000
2310 12.0000000000
7516 13.0000000000
17501 14.0000000000
29627 15.0000000000
71924 22.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
90 4.0000000000
230 5.0000000000
284 6.0000000000
467 7.0000000000
527 8.0000000000
814 11.0000000000
2093 12.0000000000
16109 21.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
4 4.0000000000
39 5.0000000000
192 6.0000000000
247 7.0000000000
847 9.0000000000
3233 11.0000000000
6782 12.0000000000
8884 13.0000000000
35791 14.0000000000
59121 23.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
11 2.0000000000
23 5.0000000000
53 6.0000000000
348 8.0000000000
575 10.0000000000
1108 14.0000000000
39325 17.0000000000
51866 18.0000000000
100000 0.0000000000
evaluations raw_y
1 5.0000000000
67 6.0000000000
162 8.0000000000
477 9.0000000000
923 11.0000000000
3892 14.0000000000
4401 15.0000000000
35872 17.0000000000
52751 19.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
3 2.0000000000
6 3.0000000000
20 6.0000000000
404 7.0000000000
499 8.0000000000
1428 9.0000000000
1796 11.0000000000
17150 12.0000000000
33734 19.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
4 5.0000000000
267 7.0000000000
591 9.0000000000
1099 11.0000000000
4638 12.0000000000
30282 13.0000000000
53863 14.0000000000
65422 17.0000000000
100000 3.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
5 4.0000000000
14 5.0000000000
214 7.0000000000
400 8.0000000000
714 9.0000000000
1386 10.0000000000
5887 11.0000000000
9431 16.0000000000
100000 1.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
6 3.0000000000
8 5.0000000000
22 6.0000000000
72 7.0000000000
235 13.0000000000
597 14.0000000000
6925 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
15 5.0000000000
182 7.0000000000
720 8.0000000000
857 9.0000000000
1940 10.0000000000
5751 11.0000000000
9598 13.0000000000
20877 14.0000000000
47331 16.0000000000
52510 18.0000000000
77399 19.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 4.0000000000
25 10.0000000000
1424 12.0000000000
2875 14.0000000000
21238 15.0000000000
76637 16.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
12 6.0000000000
78 7.0000000000
243 8.0000000000
374 9.0000000000
640 10.0000000000
4381 11.0000000000
8728 13.0000000000
20416 14.0000000000
86356 15.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
17 5.0000000000
102 7.0000000000
325 12.0000000000
2932 14.0000000000
7258 15.0000000000
55786 17.0000000000
100000 0.0000000000
evaluations raw_y
1 1.0000000000
4 2.0000000000
40 3.0000000000
45 4.0000000000
58 5.0000000000
69 7.0000000000
860 10.0000000000
3851 11.0000000000
6512 12.0000000000
39700 13.0000000000
42618 14.0000000000
86496 15.0000000000
100000 1.0000000000
evaluations raw_y
1 2.0000000000
3 3.0000000000
20 6.0000000000
131 8.0000000000
270 10.0000000000
812 11.0000000000
10089 14.0000000000
68271 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
6 5.0000000000
41 6.0000000000
171 7.0000000000
804 10.0000000000
9432 11.0000000000
18504 12.0000000000
19247 13.0000000000
22806 14.0000000000
73408 16.0000000000
100000 0.0000000000
evaluations raw_y
1 6.0000000000
4 7.0000000000
340 8.0000000000
482 9.0000000000
3418 10.0000000000
4512 14.0000000000
12301 16.0000000000
12975 17.0000000000
100000 2.0000000000
evaluations raw_y
1 2.0000000000
5 4.0000000000
22 7.0000000000
453 8.0000000000
815 13.0000000000
2838 15.0000000000
3406 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
4 2.0000000000
15 3.0000000000
18 5.0000000000
77 6.0000000000
80 12.0000000000
14777 13.0000000000
44345 15.0000000000
60060 16.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
3 6.0000000000
125 7.0000000000
225 11.0000000000
3566 13.0000000000
4705 14.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 2.0000000000
5 3.0000000000
12 4.0000000000
64 6.0000000000
131 7.0000000000
412 15.0000000000
79871 16.0000000000
100000 1.0000000000
evaluations raw_y
1 4.0000000000
5 6.0000000000
102 7.0000000000
141 9.0000000000
419 11.0000000000
6512 13.0000000000
7595 15.0000000000
12083 18.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
2 5.0000000000
139 6.0000000000
273 7.0000000000
628 8.0000000000
775 9.0000000000
2379 10.0000000000
4968 11.0000000000
5016 12.0000000000
8287 13.0000000000
13669 14.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
5 6.0000000000
10 7.0000000000
149 9.0000000000
473 14.0000000000
9670 17.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
11 4.0000000000
12 8.0000000000
43 9.0000000000
2001 10.0000000000
4772 11.0000000000
5040 14.0000000000
7327 17.0000000000
99335 21.0000000000
100000 3.0000000000
evaluations raw_y
1 1.0000000000
6 2.0000000000
7 4.0000000000
46 5.0000000000
119 9.0000000000
824 10.0000000000
1884 11.0000000000
6922 15.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
11 3.0000000000
77 5.0000000000
92 6.0000000000
372 7.0000000000
421 9.0000000000
3302 13.0000000000
48601 15.0000000000
62905 18.0000000000
100000 2.0000000000
evaluations raw_y
1 1.0000000000
15 3.0000000000
24 4.0000000000
31 6.0000000000
177 8.0000000000
1104 10.0000000000
5844 11.0000000000
9535 13.0000000000
22163 15.0000000000
44368 17.0000000000
100000 0.0000000000
evaluations raw_y
1 3.0000000000
52 4.0000000000
61 5.0000000000
64 11.0000000000
3493 12.0000000000
6658 13.0000000000
23041 16.0000000000
100000 0.0000000000
evaluations raw_y
1 2.0000000000
14 3.0000000000
60 5.0000000000
74 12.0000000000
320 16.0000000000
77983 17.0000000000
100000 0.0000000000
evaluations raw_y
1 0.0000000000
7 2.0000000000
11 4.0000000000
78 7.0000000000
419 12.0000000000
