evaluations raw_y
1 -1215.0000000000
4 -1176.0000000000
5 -1137.0000000000
6 -1127.0000000000
18 -1088.0000000000
19 -1049.0000000000
21 -971.0000000000
28 -942.0000000000
31 -903.0000000000
33 -864.0000000000
38 -825.0000000000
39 -786.0000000000
40 -757.0000000000
45 -747.0000000000
49 -718.0000000000
72 -679.0000000000
74 -650.0000000000
76 -611.0000000000
77 -582.0000000000
81 -553.0000000000
86 -514.0000000000
94 -446.0000000000
98 -417.0000000000
110 -378.0000000000
116 -369.0000000000
131 -340.0000000000
137 -311.0000000000
147 -282.0000000000
163 -253.0000000000
168 -234.0000000000
176 -205.0000000000
180 -176.0000000000
192 -147.0000000000
199 -118.0000000000
244 -89.0000000000
256 -80.0000000000
262 -51.0000000000
284 -23.0000000000
395 -14.0000000000
396 -5.0000000000
457 -4.0000000000
531 -3.0000000000
555 -2.0000000000
721 7.0000000000
888 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1449.0000000000
3 -1371.0000000000
5 -1332.0000000000
8 -1293.0000000000
11 -1264.0000000000
13 -1225.0000000000
16 -1186.0000000000
21 -1147.0000000000
26 -1108.0000000000
29 -1079.0000000000
30 -1040.0000000000
38 -1011.0000000000
39 -933.0000000000
52 -874.0000000000
53 -855.0000000000
58 -816.0000000000
64 -806.0000000000
69 -767.0000000000
75 -728.0000000000
84 -689.0000000000
85 -640.0000000000
86 -611.0000000000
87 -582.0000000000
116 -543.0000000000
120 -514.0000000000
125 -485.0000000000
132 -407.0000000000
137 -368.0000000000
144 -339.0000000000
152 -320.0000000000
155 -311.0000000000
157 -282.0000000000
159 -263.0000000000
162 -244.0000000000
176 -215.0000000000
190 -176.0000000000
192 -157.0000000000
234 -109.0000000000
237 -90.0000000000
242 -89.0000000000
268 -79.0000000000
293 -50.0000000000
322 -41.0000000000
324 -32.0000000000
353 -31.0000000000
358 -12.0000000000
524 -4.0000000000
818 5.0000000000
851 6.0000000000
876 7.0000000000
94785 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1663.0000000000
6 -1624.0000000000
8 -1585.0000000000
12 -1517.0000000000
17 -1488.0000000000
30 -1449.0000000000
34 -1410.0000000000
42 -1371.0000000000
46 -1293.0000000000
49 -1254.0000000000
51 -1225.0000000000
55 -1186.0000000000
60 -1176.0000000000
61 -1166.0000000000
63 -1137.0000000000
65 -1098.0000000000
67 -1059.0000000000
69 -1020.0000000000
76 -991.0000000000
77 -962.0000000000
79 -923.0000000000
80 -913.0000000000
83 -884.0000000000
86 -845.0000000000
87 -816.0000000000
88 -777.0000000000
95 -738.0000000000
105 -699.0000000000
116 -670.0000000000
125 -660.0000000000
130 -621.0000000000
133 -592.0000000000
146 -563.0000000000
149 -524.0000000000
156 -485.0000000000
158 -456.0000000000
159 -427.0000000000
174 -417.0000000000
181 -407.0000000000
189 -378.0000000000
220 -349.0000000000
234 -339.0000000000
237 -310.0000000000
245 -281.0000000000
287 -261.0000000000
301 -242.0000000000
306 -213.0000000000
310 -194.0000000000
311 -184.0000000000
316 -155.0000000000
322 -136.0000000000
333 -107.0000000000
382 -79.0000000000
417 -60.0000000000
430 -41.0000000000
555 -22.0000000000
566 -21.0000000000
635 -2.0000000000
637 -1.0000000000
914 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1322.0000000000
5 -1244.0000000000
16 -1205.0000000000
19 -1166.0000000000
20 -1127.0000000000
23 -1088.0000000000
34 -1069.0000000000
37 -972.0000000000
38 -943.0000000000
40 -904.0000000000
48 -865.0000000000
52 -826.0000000000
58 -787.0000000000
62 -748.0000000000
63 -631.0000000000
71 -602.0000000000
91 -563.0000000000
99 -534.0000000000
102 -505.0000000000
116 -486.0000000000
117 -457.0000000000
120 -418.0000000000
131 -379.0000000000
146 -350.0000000000
162 -311.0000000000
178 -282.0000000000
198 -214.0000000000
212 -175.0000000000
224 -146.0000000000
238 -127.0000000000
243 -98.0000000000
257 -69.0000000000
282 -50.0000000000
313 -41.0000000000
321 -22.0000000000
505 -3.0000000000
623 6.0000000000
650 7.0000000000
40928 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1108.0000000000
4 -1098.0000000000
8 -1059.0000000000
9 -1030.0000000000
14 -991.0000000000
20 -962.0000000000
24 -923.0000000000
27 -884.0000000000
29 -845.0000000000
30 -777.0000000000
33 -738.0000000000
48 -709.0000000000
58 -680.0000000000
69 -622.0000000000
73 -612.0000000000
77 -583.0000000000
78 -554.0000000000
84 -525.0000000000
86 -496.0000000000
87 -457.0000000000
100 -418.0000000000
107 -408.0000000000
134 -379.0000000000
141 -331.0000000000
142 -263.0000000000
144 -234.0000000000
149 -215.0000000000
160 -186.0000000000
167 -157.0000000000
172 -128.0000000000
174 -99.0000000000
228 -80.0000000000
235 -61.0000000000
248 -52.0000000000
253 -43.0000000000
277 -24.0000000000
287 -14.0000000000
304 -5.0000000000
319 -4.0000000000
389 -3.0000000000
447 -2.0000000000
646 7.0000000000
761 8.0000000000
100000 -31.0000000000
evaluations raw_y
1 -1634.0000000000
3 -1605.0000000000
4 -1566.0000000000
14 -1527.0000000000
16 -1488.0000000000
17 -1478.0000000000
21 -1468.0000000000
22 -1429.0000000000
27 -1322.0000000000
30 -1283.0000000000
31 -1254.0000000000
32 -1225.0000000000
35 -1196.0000000000
39 -1157.0000000000
41 -1118.0000000000
44 -1079.0000000000
45 -1001.0000000000
51 -894.0000000000
52 -855.0000000000
90 -816.0000000000
91 -777.0000000000
92 -738.0000000000
100 -660.0000000000
114 -631.0000000000
125 -592.0000000000
132 -563.0000000000
138 -524.0000000000
139 -485.0000000000
146 -446.0000000000
148 -417.0000000000
168 -388.0000000000
181 -379.0000000000
201 -350.0000000000
211 -321.0000000000
212 -302.0000000000
274 -283.0000000000
283 -244.0000000000
288 -215.0000000000
309 -186.0000000000
328 -157.0000000000
336 -137.0000000000
338 -127.0000000000
341 -108.0000000000
350 -69.0000000000
365 -60.0000000000
392 -50.0000000000
426 -32.0000000000
447 -23.0000000000
468 -13.0000000000
493 -12.0000000000
510 -3.0000000000
561 6.0000000000
590 7.0000000000
633 8.0000000000
100000 8.0000000000
evaluations raw_y
1 -1722.0000000000
5 -1644.0000000000
6 -1566.0000000000
14 -1488.0000000000
20 -1410.0000000000
26 -1332.0000000000
32 -1303.0000000000
33 -1264.0000000000
40 -1225.0000000000
45 -1186.0000000000
47 -1147.0000000000
48 -1108.0000000000
50 -1069.0000000000
56 -1040.0000000000
57 -1001.0000000000
70 -972.0000000000
71 -962.0000000000
73 -875.0000000000
80 -846.0000000000
82 -817.0000000000
104 -788.0000000000
112 -749.0000000000
113 -671.0000000000
114 -642.0000000000
133 -632.0000000000
135 -603.0000000000
136 -574.0000000000
142 -545.0000000000
144 -506.0000000000
145 -487.0000000000
147 -486.0000000000
150 -447.0000000000
162 -418.0000000000
