evaluations raw_y
1 -1371.0000000000
2 -1332.0000000000
3 -1293.0000000000
5 -1254.0000000000
6 -1215.0000000000
7 -1176.0000000000
8 -1137.0000000000
11 -1108.0000000000
16 -1069.0000000000
18 -1030.0000000000
22 -1001.0000000000
23 -972.0000000000
25 -943.0000000000
26 -904.0000000000
30 -865.0000000000
33 -826.0000000000
41 -787.0000000000
44 -748.0000000000
51 -719.0000000000
53 -680.0000000000
56 -641.0000000000
62 -612.0000000000
63 -573.0000000000
64 -544.0000000000
67 -515.0000000000
74 -476.0000000000
76 -437.0000000000
77 -408.0000000000
82 -379.0000000000
86 -350.0000000000
90 -321.0000000000
103 -282.0000000000
106 -263.0000000000
107 -234.0000000000
126 -205.0000000000
131 -176.0000000000
132 -147.0000000000
136 -118.0000000000
141 -89.0000000000
157 -60.0000000000
183 -41.0000000000
199 -22.0000000000
208 -13.0000000000
252 -12.0000000000
279 -3.0000000000
351 6.0000000000
408 7.0000000000
415 8.0000000000
100000 -1.0000000000
evaluations raw_y
1 -1244.0000000000
2 -1215.0000000000
4 -1176.0000000000
6 -1137.0000000000
8 -1098.0000000000
10 -1059.0000000000
11 -1020.0000000000
12 -981.0000000000
16 -952.0000000000
19 -913.0000000000
21 -874.0000000000
22 -845.0000000000
23 -806.0000000000
26 -767.0000000000
30 -738.0000000000
35 -709.0000000000
36 -670.0000000000
37 -631.0000000000
39 -602.0000000000
40 -563.0000000000
41 -524.0000000000
45 -495.0000000000
48 -456.0000000000
49 -427.0000000000
51 -398.0000000000
57 -379.0000000000
59 -350.0000000000
61 -311.0000000000
70 -282.0000000000
75 -253.0000000000
76 -224.0000000000
82 -195.0000000000
91 -166.0000000000
100 -137.0000000000
104 -128.0000000000
111 -109.0000000000
121 -100.0000000000
126 -81.0000000000
129 -80.0000000000
135 -79.0000000000
138 -60.0000000000
150 -51.0000000000
152 -32.0000000000
161 -31.0000000000
185 -30.0000000000
194 -11.0000000000
208 -2.0000000000
229 7.0000000000
253 8.0000000000
706 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1663.0000000000
2 -1624.0000000000
3 -1595.0000000000
4 -1566.0000000000
7 -1527.0000000000
10 -1498.0000000000
18 -1459.0000000000
19 -1420.0000000000
20 -1381.0000000000
22 -1342.0000000000
23 -1303.0000000000
25 -1264.0000000000
28 -1225.0000000000
30 -1186.0000000000
31 -1147.0000000000
32 -1108.0000000000
34 -1069.0000000000
36 -1040.0000000000
37 -1001.0000000000
38 -962.0000000000
39 -923.0000000000
40 -884.0000000000
42 -855.0000000000
44 -826.0000000000
45 -797.0000000000
48 -758.0000000000
50 -729.0000000000
51 -690.0000000000
53 -651.0000000000
54 -612.0000000000
57 -583.0000000000
58 -544.0000000000
59 -515.0000000000
62 -476.0000000000
63 -447.0000000000
75 -418.0000000000
76 -379.0000000000
78 -350.0000000000
80 -331.0000000000
81 -302.0000000000
87 -283.0000000000
89 -264.0000000000
90 -235.0000000000
95 -216.0000000000
100 -177.0000000000
106 -158.0000000000
123 -149.0000000000
124 -120.0000000000
134 -111.0000000000
135 -110.0000000000
136 -101.0000000000
148 -100.0000000000
182 -81.0000000000
183 -52.0000000000
190 -51.0000000000
210 -42.0000000000
218 -33.0000000000
292 -32.0000000000
323 -13.0000000000
334 -4.0000000000
382 -3.0000000000
411 -2.0000000000
441 7.0000000000
496 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1390.0000000000
3 -1351.0000000000
9 -1312.0000000000
11 -1273.0000000000
12 -1234.0000000000
13 -1195.0000000000
16 -1156.0000000000
18 -1117.0000000000
19 -1088.0000000000
22 -1049.0000000000
23 -1020.0000000000
26 -981.0000000000
31 -942.0000000000
38 -913.0000000000
39 -884.0000000000
41 -855.0000000000
43 -816.0000000000
44 -777.0000000000
45 -748.0000000000
57 -729.0000000000
58 -690.0000000000
59 -671.0000000000
65 -632.0000000000
66 -603.0000000000
70 -564.0000000000
87 -535.0000000000
88 -496.0000000000
89 -457.0000000000
91 -418.0000000000
95 -389.0000000000
101 -360.0000000000
111 -341.0000000000
113 -312.0000000000
117 -283.0000000000
127 -254.0000000000
131 -245.0000000000
137 -216.0000000000
141 -187.0000000000
147 -186.0000000000
155 -157.0000000000
160 -148.0000000000
163 -119.0000000000
164 -90.0000000000
183 -81.0000000000
184 -62.0000000000
188 -43.0000000000
222 -42.0000000000
232 -13.0000000000
238 -12.0000000000
264 -3.0000000000
273 -2.0000000000
295 7.0000000000
340 8.0000000000
383 9.0000000000
100000 -10.0000000000
evaluations raw_y
1 -1225.0000000000
3 -1196.0000000000
6 -1157.0000000000
8 -1118.0000000000
11 -1079.0000000000
12 -1050.0000000000
17 -1011.0000000000
19 -972.0000000000
23 -933.0000000000
25 -894.0000000000
31 -855.0000000000
35 -826.0000000000
36 -787.0000000000
38 -748.0000000000
45 -709.0000000000
47 -680.0000000000
48 -651.0000000000
52 -612.0000000000
56 -583.0000000000
64 -554.0000000000
65 -515.0000000000
67 -486.0000000000
74 -447.0000000000
77 -418.0000000000
82 -389.0000000000
87 -360.0000000000
96 -341.0000000000
97 -312.0000000000
105 -283.0000000000
110 -244.0000000000
113 -215.0000000000
115 -186.0000000000
116 -167.0000000000
118 -138.0000000000
124 -99.0000000000
146 -70.0000000000
155 -41.0000000000
158 -32.0000000000
172 -23.0000000000
180 -22.0000000000
198 -13.0000000000
212 -12.0000000000
228 -11.0000000000
302 8.0000000000
391 9.0000000000
100000 -20.0000000000
evaluations raw_y
1 -1566.0000000000
2 -1527.0000000000
4 -1498.0000000000
5 -1469.0000000000
6 -1430.0000000000
8 -1391.0000000000
9 -1352.0000000000
10 -1313.0000000000
14 -1274.0000000000
15 -1235.0000000000
16 -1196.0000000000
17 -1157.0000000000
19 -1118.0000000000
24 -1079.0000000000
25 -1040.0000000000
30 -1001.0000000000
32 -962.0000000000
33 -923.0000000000
34 -894.0000000000
36 -855.0000000000
47 -816.0000000000
49 -777.0000000000
52 -748.0000000000
53 -709.0000000000
56 -670.0000000000
60 -631.0000000000
63 -592.0000000000
66 -563.0000000000
73 -524.0000000000
78 -485.0000000000
80 -456.0000000000
81 -427.0000000000
87 -388.0000000000
88 -349.0000000000
93 -320.0000000000
95 -301.0000000000
98 -272.0000000000
109 -243.0000000000
110 -224.0000000000
118 -205.0000000000
126 -176.0000000000
131 -147.0000000000
135 -128.0000000000
138 -119.0000000000
141 -100.0000000000
150 -81.0000000000
159 -62.0000000000
162 -53.0000000000
164 -52.0000000000
171 -43.0000000000
172 -42.0000000000
180 -23.0000000000
185 -22.0000000000
188 -13.0000000000
197 6.0000000000
199 7.0000000000
274 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1430.0000000000
3 -1391.0000000000
5 -1352.0000000000
7 -1313.0000000000
9 -1274.0000000000
14 -1235.0000000000
15 -1196.0000000000
16 -1167.0000000000
17 -1138.0000000000
21 -1099.0000000000
23 -1060.0000000000
24 -1021.0000000000
27 -992.0000000000
30 -953.0000000000
31 -914.0000000000
40 -875.0000000000
45 -846.0000000000
51 -817.0000000000
55 -778.0000000000
56 -749.0000000000
60 -710.0000000000
61 -671.0000000000
63 -642.0000000000
65 -603.0000000000
68 -564.0000000000
73 -525.0000000000
75 -496.0000000000
78 -467.0000000000
93 -448.0000000000
96 -429.0000000000
98 -390.0000000000
99 -351.0000000000
102 -322.0000000000
103 -283.0000000000
110 -254.0000000000
112 -225.0000000000
116 -206.0000000000
118 -177.0000000000
126 -176.0000000000
135 -147.0000000000
137 -128.0000000000
148 -109.0000000000
153 -100.0000000000
155 -71.0000000000
177 -52.0000000000
193 -51.0000000000
208 -32.0000000000
211 -23.0000000000
214 -4.0000000000
245 5.0000000000
256 6.0000000000
270 7.0000000000
719 8.0000000000
100000 -11.0000000000
evaluations raw_y
1 -1488.0000000000
2 -1449.0000000000
8 -1410.0000000000
10 -1371.0000000000
13 -1342.0000000000
15 -1303.0000000000
16 -1264.0000000000
17 -1235.0000000000
20 -1196.0000000000
22 -1157.0000000000
23 -1128.0000000000
28 -1089.0000000000
32 -1050.0000000000
36 -1011.0000000000
37 -972.0000000000
42 -933.0000000000
43 -894.0000000000
46 -855.0000000000
47 -816.0000000000
49 -797.0000000000
53 -758.0000000000
56 -719.0000000000
58 -690.0000000000
59 -651.0000000000
60 -612.0000000000
62 -573.0000000000
63 -534.0000000000
67 -515.0000000000
70 -486.0000000000
71 -447.0000000000
72 -408.0000000000
77 -369.0000000000
78 -340.0000000000
80 -311.0000000000
83 -282.0000000000
103 -243.0000000000
105 -214.0000000000
106 -185.0000000000
107 -166.0000000000
108 -137.0000000000
110 -118.0000000000
117 -109.0000000000
133 -80.0000000000
156 -61.0000000000
165 -42.0000000000
170 -33.0000000000
171 -24.0000000000
173 -23.0000000000
204 -14.0000000000
205 -13.0000000000
240 -12.0000000000
256 -11.0000000000
262 -10.0000000000
279 9.0000000000
100000 0.0000000000
evaluations raw_y
1 -1225.0000000000
6 -1186.0000000000
13 -1147.0000000000
16 -1118.0000000000
17 -1089.0000000000
18 -1050.0000000000
21 -1011.0000000000
22 -972.0000000000
24 -943.0000000000
25 -904.0000000000
26 -865.0000000000
30 -826.0000000000
33 -787.0000000000
34 -758.0000000000
39 -729.0000000000
42 -700.0000000000
43 -661.0000000000
45 -622.0000000000
50 -593.0000000000
53 -564.0000000000
55 -535.0000000000
56 -506.0000000000
59 -477.0000000000
62 -448.0000000000
65 -419.0000000000
67 -390.0000000000
70 -351.0000000000
72 -332.0000000000
74 -303.0000000000
75 -274.0000000000
81 -245.0000000000
82 -206.0000000000
85 -167.0000000000
107 -128.0000000000
122 -119.0000000000
128 -110.0000000000
136 -91.0000000000
151 -72.0000000000
157 -71.0000000000
162 -52.0000000000
170 -43.0000000000
173 -34.0000000000
189 -33.0000000000
194 -32.0000000000
205 -23.0000000000
224 -4.0000000000
236 -3.0000000000
249 6.0000000000
251 7.0000000000
344 8.0000000000
100000 -21.0000000000
evaluations raw_y
1 -1303.0000000000
2 -1274.0000000000
3 -1235.0000000000
10 -1206.0000000000
15 -1167.0000000000
20 -1128.0000000000
22 -1089.0000000000
26 -1050.0000000000
27 -1021.0000000000
29 -982.0000000000
33 -943.0000000000
45 -904.0000000000
46 -865.0000000000
48 -826.0000000000
52 -787.0000000000
57 -748.0000000000
58 -719.0000000000
62 -690.0000000000
67 -661.0000000000
70 -622.0000000000
72 -583.0000000000
74 -544.0000000000
78 -515.0000000000
81 -476.0000000000
96 -457.0000000000
100 -418.0000000000
111 -379.0000000000
115 -360.0000000000
116 -331.0000000000
123 -292.0000000000
125 -253.0000000000
131 -224.0000000000
140 -205.0000000000
152 -176.0000000000
163 -147.0000000000
166 -128.0000000000
187 -119.0000000000
210 -90.0000000000
213 -71.0000000000
230 -42.0000000000
231 -41.0000000000
233 -32.0000000000
241 -23.0000000000
262 -4.0000000000
277 -3.0000000000
281 -2.0000000000
310 -1.0000000000
327 8.0000000000
429 9.0000000000
100000 -20.0000000000
