evaluations raw_y
1 -1391.0000000000
5 -1303.0000000000
7 -1254.0000000000
9 -1118.0000000000
13 -1089.0000000000
29 -855.0000000000
1911 -835.0000000000
2421 -699.0000000000
24437 -660.0000000000
100000 -1030.0000000000
evaluations raw_y
1 -1751.0000000000
2 -1605.0000000000
3 -1342.0000000000
10 -1303.0000000000
12 -1264.0000000000
13 -1177.0000000000
40 -1167.0000000000
47 -1020.0000000000
49 -933.0000000000
122 -865.0000000000
717 -836.0000000000
1709 -671.0000000000
86569 -573.0000000000
100000 -1098.0000000000
evaluations raw_y
1 -1186.0000000000
13 -952.0000000000
41 -933.0000000000
163 -932.0000000000
752 -845.0000000000
4668 -767.0000000000
6124 -748.0000000000
8630 -670.0000000000
100000 -1673.0000000000
evaluations raw_y
1 -1186.0000000000
4 -1049.0000000000
59 -1002.0000000000
199 -836.0000000000
2967 -825.0000000000
4529 -787.0000000000
8540 -739.0000000000
25956 -670.0000000000
38851 -622.0000000000
100000 -1527.0000000000
evaluations raw_y
1 -1478.0000000000
2 -1430.0000000000
5 -1322.0000000000
6 -1079.0000000000
24 -1069.0000000000
31 -1040.0000000000
93 -1031.0000000000
309 -894.0000000000
1749 -885.0000000000
1797 -865.0000000000
3412 -738.0000000000
34784 -729.0000000000
37434 -680.0000000000
100000 -1468.0000000000
evaluations raw_y
1 -1536.0000000000
6 -1371.0000000000
8 -1206.0000000000
10 -1137.0000000000
20 -1098.0000000000
23 -991.0000000000
207 -953.0000000000
358 -913.0000000000
433 -835.0000000000
823 -806.0000000000
2636 -738.0000000000
8969 -660.0000000000
84717 -632.0000000000
100000 -1372.0000000000
evaluations raw_y
1 -1546.0000000000
2 -1273.0000000000
11 -1225.0000000000
29 -1059.0000000000
83 -836.0000000000
916 -826.0000000000
1415 -787.0000000000
2354 -767.0000000000
4314 -593.0000000000
100000 -1381.0000000000
evaluations raw_y
1 -1497.0000000000
3 -1254.0000000000
6 -1244.0000000000
10 -1157.0000000000
11 -952.0000000000
31 -798.0000000000
1494 -748.0000000000
4172 -690.0000000000
14649 -689.0000000000
41451 -670.0000000000
73722 -485.0000000000
100000 -1439.0000000000
evaluations raw_y
1 -1439.0000000000
2 -1167.0000000000
33 -1118.0000000000
37 -1098.0000000000
59 -1069.0000000000
111 -894.0000000000
227 -874.0000000000
804 -845.0000000000
1540 -836.0000000000
2225 -680.0000000000
10187 -612.0000000000
86342 -583.0000000000
100000 -1196.0000000000
evaluations raw_y
1 -1264.0000000000
4 -1176.0000000000
5 -1108.0000000000
14 -1011.0000000000
18 -991.0000000000
70 -787.0000000000
5898 -748.0000000000
7019 -719.0000000000
37881 -709.0000000000
61038 -690.0000000000
84270 -689.0000000000
95238 -661.0000000000
100000 -1537.0000000000
evaluations raw_y
1 -1517.0000000000
2 -1244.0000000000
9 -1176.0000000000
24 -1069.0000000000
37 -1020.0000000000
54 -991.0000000000
122 -845.0000000000
348 -700.0000000000
1182 -670.0000000000
99134 -641.0000000000
100000 -1682.0000000000
evaluations raw_y
1 -1186.0000000000
8 -1147.0000000000
25 -1098.0000000000
110 -1088.0000000000
125 -982.0000000000
138 -767.0000000000
8169 -748.0000000000
11392 -730.0000000000
34472 -689.0000000000
84331 -651.0000000000
100000 -1176.0000000000
evaluations raw_y
1 -1351.0000000000
3 -1302.0000000000
4 -1127.0000000000
12 -1118.0000000000
15 -1030.0000000000
31 -826.0000000000
1379 -787.0000000000
1702 -699.0000000000
56976 -690.0000000000
76660 -679.0000000000
100000 -1138.0000000000
evaluations raw_y
1 -1264.0000000000
4 -1254.0000000000
8 -1147.0000000000
42 -1108.0000000000
70 -1039.0000000000
88 -1030.0000000000
202 -1001.0000000000
278 -767.0000000000
21190 -748.0000000000
24138 -709.0000000000
81577 -661.0000000000
100000 -1430.0000000000
evaluations raw_y
1 -1098.0000000000
19 -1069.0000000000
28 -1041.0000000000
60 -894.0000000000
401 -875.0000000000
545 -865.0000000000
886 -855.0000000000
1046 -806.0000000000
3021 -797.0000000000
4030 -709.0000000000
16567 -699.0000000000
27986 -690.0000000000
74940 -680.0000000000
99181 -660.0000000000
100000 -1468.0000000000
evaluations raw_y
1 -1254.0000000000
9 -1156.0000000000
23 -1108.0000000000
30 -1098.0000000000
64 -1079.0000000000
77 -1011.0000000000
94 -982.0000000000
388 -865.0000000000
998 -845.0000000000
1459 -787.0000000000
2021 -778.0000000000
2270 -777.0000000000
3608 -768.0000000000
18303 -738.0000000000
22760 -718.0000000000
31965 -700.0000000000
32190 -535.0000000000
100000 -1644.0000000000
evaluations raw_y
1 -1400.0000000000
5 -1332.0000000000
7 -1323.0000000000
8 -1070.0000000000
38 -1060.0000000000
224 -992.0000000000
310 -962.0000000000
348 -874.0000000000
559 -757.0000000000
11355 -709.0000000000
41393 -680.0000000000
89881 -631.0000000000
100000 -1702.0000000000
evaluations raw_y
1 -1400.0000000000
2 -1293.0000000000
4 -1118.0000000000
59 -1108.0000000000
67 -1098.0000000000
73 -1050.0000000000
74 -1010.0000000000
121 -1002.0000000000
151 -972.0000000000
197 -845.0000000000
471 -826.0000000000
3898 -825.0000000000
6423 -787.0000000000
13818 -767.0000000000
15242 -738.0000000000
15400 -631.0000000000
100000 -1410.0000000000
evaluations raw_y
1 -1439.0000000000
2 -1283.0000000000
8 -1235.0000000000
14 -1225.0000000000
21 -1196.0000000000
24 -1079.0000000000
42 -1021.0000000000
