evaluations raw_y
1 6.0000000000
2 6.8000000000
5 7.0000000000
8 7.4000000000
15 7.6000000000
20 7.8000000000
21 8.6000000000
34 8.8000000000
150 9.8000000000
874 10.6000000000
14428 11.8000000000
74750 12.2000000000
100000 6.8000000000
evaluations raw_y
1 5.6000000000
5 6.8000000000
6 7.4000000000
10 8.2000000000
13 8.8000000000
49 10.0000000000
300 10.4000000000
2272 10.8000000000
8835 11.0000000000
88662 11.4000000000
100000 8.6000000000
evaluations raw_y
1 7.0000000000
2 7.8000000000
14 8.2000000000
16 9.4000000000
88 9.6000000000
634 10.2000000000
812 10.4000000000
2651 10.6000000000
8391 10.8000000000
29110 11.4000000000
100000 5.0000000000
evaluations raw_y
1 7.0000000000
3 8.2000000000
15 8.4000000000
19 8.8000000000
37 9.6000000000
1552 10.0000000000
3919 10.2000000000
4064 10.4000000000
5387 10.8000000000
11363 11.4000000000
55088 11.6000000000
90887 12.0000000000
100000 6.8000000000
evaluations raw_y
1 6.8000000000
4 8.2000000000
16 8.4000000000
26 9.2000000000
246 10.2000000000
296 10.4000000000
3127 10.8000000000
16032 11.4000000000
63420 12.0000000000
100000 7.0000000000
evaluations raw_y
1 8.8000000000
12 9.2000000000
185 10.8000000000
2060 11.8000000000
80619 12.6000000000
100000 7.2000000000
evaluations raw_y
1 7.2000000000
2 7.8000000000
14 8.4000000000
38 9.2000000000
228 9.8000000000
442 10.2000000000
2490 10.8000000000
3209 11.0000000000
4900 11.2000000000
8863 11.8000000000
100000 6.8000000000
evaluations raw_y
1 6.2000000000
5 6.8000000000
9 7.6000000000
16 7.8000000000
44 8.6000000000
96 8.8000000000
157 11.4000000000
16899 11.6000000000
100000 7.4000000000
evaluations raw_y
1 5.8000000000
2 8.2000000000
4 9.2000000000
8 10.2000000000
515 10.6000000000
2546 10.8000000000
37744 11.0000000000
45168 11.4000000000
100000 6.2000000000
evaluations raw_y
1 6.0000000000
2 7.0000000000
3 7.2000000000
4 7.8000000000
7 10.0000000000
371 10.8000000000
480 11.0000000000
25160 11.2000000000
25498 11.6000000000
47408 12.0000000000
100000 8.2000000000
evaluations raw_y
1 5.8000000000
2 7.2000000000
5 8.8000000000
157 9.0000000000
174 9.4000000000
561 10.2000000000
2991 10.6000000000
3316 10.8000000000
12074 11.0000000000
25803 11.8000000000
100000 8.2000000000
evaluations raw_y
1 6.4000000000
2 7.6000000000
14 7.8000000000
20 8.0000000000
22 8.2000000000
25 8.4000000000
63 8.6000000000
78 9.0000000000
134 9.8000000000
402 10.2000000000
554 10.8000000000
3784 11.0000000000
14746 11.2000000000
81290 11.6000000000
100000 8.0000000000
evaluations raw_y
1 6.2000000000
3 8.4000000000
22 9.4000000000
62 10.0000000000
1456 10.2000000000
1670 10.6000000000
2903 10.8000000000
7828 11.4000000000
85868 11.6000000000
88048 11.8000000000
100000 5.6000000000
evaluations raw_y
1 6.6000000000
2 8.0000000000
10 8.8000000000
34 9.0000000000
97 9.4000000000
631 9.6000000000
1027 10.0000000000
2434 10.4000000000
5687 11.0000000000
21862 11.2000000000
34230 11.6000000000
58895 11.8000000000
100000 5.2000000000
evaluations raw_y
1 6.6000000000
3 7.8000000000
7 8.0000000000
18 8.4000000000
25 8.8000000000
74 9.2000000000
182 10.2000000000
2630 10.4000000000
4250 10.6000000000
18359 11.2000000000
53402 11.4000000000
90078 11.6000000000
100000 4.6000000000
evaluations raw_y
1 7.8000000000
2 9.0000000000
44 9.8000000000
1028 10.0000000000
1212 10.2000000000
2292 10.6000000000
5475 11.2000000000
6117 11.4000000000
37443 11.6000000000
100000 8.8000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
7 7.4000000000
8 8.2000000000
12 8.8000000000
29 9.0000000000
58 9.8000000000
1545 10.4000000000
1994 10.8000000000
7780 11.4000000000
64756 12.6000000000
100000 7.6000000000
evaluations raw_y
1 7.2000000000
11 7.6000000000
13 8.4000000000
21 9.6000000000
323 9.8000000000
1105 10.2000000000
1255 10.8000000000
8926 11.6000000000
52867 12.0000000000
100000 8.0000000000
evaluations raw_y
1 8.0000000000
2 8.2000000000
3 9.6000000000
335 9.8000000000
1302 10.0000000000
1844 10.4000000000
4223 10.6000000000
7597 10.8000000000
13750 11.0000000000
13817 11.2000000000
46828 11.4000000000
100000 8.4000000000
evaluations raw_y
1 8.4000000000
2 8.8000000000
14 9.0000000000
94 9.2000000000
272 9.4000000000
298 9.8000000000
1444 10.0000000000
1837 10.4000000000
4620 11.0000000000
16802 11.2000000000
18849 11.6000000000
50997 12.4000000000
100000 6.8000000000
evaluations raw_y
1 7.0000000000
8 8.0000000000
17 8.6000000000
39 8.8000000000
91 9.2000000000
99 9.4000000000
203 9.8000000000
229 10.2000000000
2385 10.6000000000
5202 11.4000000000
49013 12.2000000000
100000 8.0000000000
evaluations raw_y
1 6.4000000000
2 8.2000000000
7 8.6000000000
44 9.0000000000
236 10.2000000000
3344 10.4000000000
5188 10.6000000000
9247 10.8000000000
34511 11.4000000000
58717 11.6000000000
89691 12.2000000000
100000 9.0000000000
evaluations raw_y
1 6.0000000000
3 7.4000000000
5 7.8000000000
19 8.6000000000
40 8.8000000000
191 9.0000000000
296 9.6000000000
758 9.8000000000
951 10.4000000000
1035 10.6000000000
6004 10.8000000000
8285 11.0000000000
11222 11.2000000000
55216 11.4000000000
91671 11.8000000000
100000 6.8000000000
evaluations raw_y
1 6.4000000000
4 7.8000000000
20 8.6000000000
39 8.8000000000
109 9.0000000000
157 9.2000000000
368 9.4000000000
815 9.8000000000
915 11.0000000000
1834 11.8000000000
100000 6.6000000000
evaluations raw_y
1 5.6000000000
2 8.4000000000
6 9.0000000000
125 9.8000000000
414 10.2000000000
4301 10.6000000000
7560 11.0000000000
10922 11.2000000000
38221 11.6000000000
100000 5.8000000000
evaluations raw_y
1 6.6000000000
2 7.0000000000
3 7.4000000000
7 8.6000000000
26 9.2000000000
173 9.4000000000
456 9.6000000000
808 9.8000000000
936 10.2000000000
3177 10.4000000000
5568 10.6000000000
5963 11.0000000000
19273 11.6000000000
100000 7.6000000000
evaluations raw_y
1 7.0000000000
2 7.2000000000
4 9.0000000000
136 9.6000000000
296 10.2000000000
641 10.4000000000
6631 11.2000000000
22878 12.2000000000
100000 7.8000000000
evaluations raw_y
1 4.6000000000
2 8.4000000000
22 9.0000000000
24 9.6000000000
77 10.0000000000
1699 10.4000000000
1860 10.6000000000
5127 10.8000000000
16553 11.2000000000
43328 11.4000000000
65789 11.6000000000
100000 7.8000000000
evaluations raw_y
1 3.4000000000
2 6.2000000000
3 9.0000000000
43 9.2000000000
155 9.6000000000
176 10.0000000000
180 10.8000000000
1320 11.6000000000
55997 12.0000000000
100000 6.4000000000
evaluations raw_y
1 8.2000000000
4 8.8000000000
41 9.0000000000
52 9.8000000000
1224 10.0000000000
1439 10.4000000000
6351 10.8000000000
9964 11.0000000000
33247 11.2000000000
35977 11.4000000000
100000 6.8000000000
evaluations raw_y
1 8.0000000000
4 8.2000000000
12 8.4000000000
16 9.0000000000
31 9.4000000000
350 10.2000000000
1705 10.8000000000
14656 11.4000000000
37285 11.6000000000
100000 5.2000000000
evaluations raw_y
1 6.6000000000
2 7.0000000000
9 7.4000000000
11 8.4000000000
15 9.6000000000
409 9.8000000000
410 10.0000000000
3992 10.2000000000
4930 10.8000000000
9658 11.0000000000
12813 11.2000000000
31231 11.4000000000
89851 11.6000000000
100000 7.2000000000
evaluations raw_y
1 6.8000000000
2 9.2000000000
120 9.6000000000
242 9.8000000000
548 10.2000000000
6187 10.4000000000
7550 10.6000000000
12382 11.2000000000
27875 11.4000000000
47969 11.6000000000
100000 5.4000000000
evaluations raw_y
1 7.6000000000
3 8.4000000000
50 8.8000000000
58 9.0000000000
194 10.0000000000
936 10.2000000000
1959 10.6000000000
19080 10.8000000000
25538 11.0000000000
25813 12.0000000000
61984 12.4000000000
100000 6.2000000000
evaluations raw_y
1 6.4000000000
2 6.8000000000
4 7.2000000000
5 8.2000000000
20 8.4000000000
25 8.6000000000
47 9.0000000000
52 9.2000000000
129 9.4000000000
176 10.0000000000
223 10.2000000000
620 10.8000000000
1387 11.0000000000
3280 12.4000000000
100000 7.8000000000
evaluations raw_y
1 8.8000000000
62 9.0000000000
125 9.2000000000
161 9.4000000000
192 9.6000000000
1590 9.8000000000
1981 10.0000000000
3128 10.2000000000
4478 10.6000000000
4726 10.8000000000
10156 11.0000000000
11282 11.2000000000
31003 11.4000000000
58409 11.6000000000
59493 12.2000000000
100000 6.8000000000
evaluations raw_y
1 5.8000000000
2 7.8000000000
9 8.2000000000
17 8.4000000000
28 9.0000000000
46 9.4000000000
117 9.6000000000
283 9.8000000000
547 10.4000000000
1284 10.6000000000
2743 11.0000000000
13860 11.2000000000
32439 11.6000000000
100000 6.0000000000
evaluations raw_y
1 7.8000000000
12 8.4000000000
20 9.2000000000
110 9.6000000000
171 10.0000000000
590 10.8000000000
11428 11.0000000000
