evaluations raw_y
1 -0.5032320049
3 -0.4986876724
6 -0.4905943864
8 -0.4857382815
10 -0.4851969494
11 -0.4773841315
13 -0.4747207560
16 -0.4680341491
17 -0.4672931318
19 -0.4612520145
21 -0.4588916843
23 -0.4562254010
29 -0.4547514064
32 -0.4505915877
33 -0.4400177495
41 -0.4385326726
42 -0.4353589038
45 -0.4341286136
48 -0.4318416775
49 -0.4268304536
50 -0.4223344422
63 -0.4216192881
65 -0.4177997308
68 -0.4148334291
71 -0.4103195415
73 -0.4096612869
76 -0.4084207533
83 -0.4083306360
98 -0.4046170898
100 -0.4042518312
106 -0.4029845702
110 -0.3991209624
117 -0.3957995049
118 -0.3912591380
122 -0.3908743019
132 -0.3828949665
133 -0.3817025363
134 -0.3801809980
135 -0.3770125471
142 -0.3693937149
154 -0.3693443282
180 -0.3591672136
185 -0.3536218843
191 -0.3487975186
223 -0.3486946802
230 -0.3483631062
240 -0.3453793067
261 -0.3435145037
282 -0.3409653172
299 -0.3402242999
321 -0.3402159147
361 -0.3383448955
381 -0.3375430545
390 -0.3362210389
407 -0.3299323404
414 -0.3258670756
423 -0.3210555441
441 -0.3209984813
517 -0.3192875858
561 -0.3185465684
636 -0.3175455281
707 -0.3174191226
713 -0.3170044772
766 -0.3153555440
812 -0.3148754240
885 -0.3142588417
924 -0.3093273431
1694 -0.3092095356
2152 -0.3038503398
10773 -0.3032214501
11097 -0.2993433776
25480 -0.2980173797
28504 -0.2950691225
63636 -0.2935538622
100000 -0.2935538622
evaluations raw_y
1 -0.5413894362
2 -0.5324435725
3 -0.5115747261
7 -0.5043542797
8 -0.4957270738
12 -0.4938250184
20 -0.4933595985
23 -0.4912965656
24 -0.4870793631
27 -0.4783799445
33 -0.4733819041
36 -0.4645641611
43 -0.4607998687
44 -0.4503817850
46 -0.4499016650
51 -0.4478062477
59 -0.4411159334
65 -0.4403536356
69 -0.4304353371
71 -0.4274515376
86 -0.4163510319
89 -0.4157430231
91 -0.4133216402
97 -0.4111393995
101 -0.4099117092
111 -0.4079663180
113 -0.4071644770
121 -0.4069658975
133 -0.4031471037
144 -0.4014157413
148 -0.3979884567
149 -0.3962170776
150 -0.3901397373
163 -0.3877185871
168 -0.3864780535
184 -0.3780843795
195 -0.3767836443
196 -0.3744758939
203 -0.3721344384
206 -0.3693790952
216 -0.3693707100
242 -0.3655511526
251 -0.3588887005
262 -0.3581264027
272 -0.3551334210
299 -0.3544798559
303 -0.3508977778
311 -0.3502811956
322 -0.3471384833
335 -0.3444893725
374 -0.3438358074
474 -0.3434211620
492 -0.3430338097
533 -0.3390377915
556 -0.3389807287
606 -0.3385799147
619 -0.3383817460
632 -0.3371412123
811 -0.3327892311
828 -0.3317881908
853 -0.3281237900
869 -0.3280667272
914 -0.3274501449
949 -0.3271185709
3353 -0.3241703138
8942 -0.3240863109
9246 -0.3206460217
10642 -0.3182336862
10765 -0.3125356471
20641 -0.3124178396
20786 -0.3070586439
42295 -0.3062844009
42348 -0.3055433835
42823 -0.3049144938
62442 -0.3048492919
62775 -0.3035884959
100000 -0.3035884959
evaluations raw_y
1 -0.5171615151
2 -0.5108908086
5 -0.5011703718
9 -0.4944800575
11 -0.4903928361
12 -0.4901266962
16 -0.4899815385
18 -0.4876212084
28 -0.4853632785
32 -0.4841923522
33 -0.4763065826
37 -0.4641935883
38 -0.4615273050
46 -0.4585019581
48 -0.4577238665
54 -0.4478055680
58 -0.4279502761
62 -0.4241090930
71 -0.4224227810
74 -0.4186485216
76 -0.4152536951
83 -0.4143257002
84 -0.4130954100
86 -0.4109056348
87 -0.4086261864
89 -0.4025890419
101 -0.4017961965
112 -0.4017645975
116 -0.3999616451
118 -0.3932366080
122 -0.3924585164
126 -0.3870993206
142 -0.3869729152
144 -0.3863146606
149 -0.3837525854
170 -0.3750129563
177 -0.3685613249
194 -0.3640474373
202 -0.3592025826
212 -0.3566140988
216 -0.3524945521
272 -0.3524861670
280 -0.3465322866
312 -0.3460521666
332 -0.3457205926
383 -0.3449582948
400 -0.3448313729
416 -0.3390441044
439 -0.3345302168
458 -0.3318760867
459 -0.3311350694
491 -0.3285729942
499 -0.3270985601
557 -0.3146170649
578 -0.3140787799
585 -0.3123678844
624 -0.3117086732
654 -0.3113668441
681 -0.3090504067
696 -0.3060509721
909 -0.3045769776
1000 -0.3040968576
1190 -0.3034802753
1263 -0.3017088963
4047 -0.2982311680
10794 -0.2969051701
12419 -0.2950664852
100000 -0.2950664852
evaluations raw_y
1 -0.5343342956
9 -0.5328492187
12 -0.5318645017
13 -0.5296593873
21 -0.5290011327
24 -0.5235780904
31 -0.5226261921
32 -0.5212419381
33 -0.5147278795
34 -0.5116907822
35 -0.5082112277
41 -0.5015209133
43 -0.4980673093
53 -0.4916062160
55 -0.4829727818
58 -0.4824926618
61 -0.4776811303
65 -0.4722529427
71 -0.4673393733
72 -0.4632403782
74 -0.4462959589
77 -0.4436554330
82 -0.4408336677
90 -0.4393596731
95 -0.4375352614
98 -0.4253896304
100 -0.4197665242
102 -0.4134496907
103 -0.4116467383
105 -0.4110768544
115 -0.4043518173
117 -0.4035279145
128 -0.3970762831
130 -0.3945270967
131 -0.3883229380
133 -0.3826514680
134 -0.3772343466
180 -0.3686827104
185 -0.3651956529
191 -0.3604222653
199 -0.3600746130
207 -0.3596348837
211 -0.3590183015
220 -0.3540650390
230 -0.3533240216
243 -0.3488887445
252 -0.3481412041
303 -0.3424431651
310 -0.3420285197
333 -0.3366322134
337 -0.3361924842
379 -0.3334294928
431 -0.3316053526
469 -0.3303445566
471 -0.3301772293
512 -0.3246515173
601 -0.3208874243
629 -0.3147923770
652 -0.3121382470
693 -0.3116917295
876 -0.3063720936
1036 -0.3060405196
1158 -0.3055603996
1189 -0.3055520145
5990 -0.3054342069
6069 -0.3000750112
34961 -0.2992862506
35467 -0.2980147423
71157 -0.2950664852
100000 -0.3111708497
evaluations raw_y
1 -0.4879374097
3 -0.4771850817
6 -0.4613635384
8 -0.4598325620
15 -0.4548785735
16 -0.4390167137
20 -0.4287217056
26 -0.4220225607
27 -0.4130849437
35 -0.4059687432
