evaluations raw_y
1 -0.5071911068
4 -0.5059195985
7 -0.5059112134
8 -0.5055632563
11 -0.5029947682
12 -0.4967067159
15 -0.4900164016
16 -0.4830777542
18 -0.4808759354
19 -0.4779426928
20 -0.4705139561
21 -0.4700742269
25 -0.4666114682
26 -0.4664850627
27 -0.4575962540
29 -0.4557933015
32 -0.4479804837
33 -0.4415288523
38 -0.4400437753
39 -0.4391812643
41 -0.4348595328
44 -0.4307763133
54 -0.4284685629
57 -0.4278185754
60 -0.4241050292
62 -0.4211386025
66 -0.4162377664
67 -0.4118857852
68 -0.4117184579
70 -0.4086257507
84 -0.4064206363
88 -0.4038714499
93 -0.3985122541
96 -0.3894407085
100 -0.3856766156
103 -0.3795815683
105 -0.3769500380
112 -0.3663761998
113 -0.3610565640
116 -0.3605764440
117 -0.3593461538
128 -0.3574751346
132 -0.3511864361
137 -0.3463749047
146 -0.3460433306
152 -0.3387608482
155 -0.3361987730
169 -0.3259619805
184 -0.3233734966
188 -0.3156943044
278 -0.3133302171
298 -0.3106760871
329 -0.3100595048
399 -0.3073961292
416 -0.3065942882
100000 -0.3119139240
evaluations raw_y
1 -0.4871463011
2 -0.4798949635
3 -0.4784530550
4 -0.4735522189
5 -0.4666110055
6 -0.4628974593
11 -0.4575066769
12 -0.4514752696
17 -0.4469613820
26 -0.4461832904
31 -0.4418615588
32 -0.4313728767
33 -0.4287095011
43 -0.4220191868
47 -0.4196588566
49 -0.4163537502
51 -0.4103082206
57 -0.4070053400
59 -0.4043512100
64 -0.3970687275
66 -0.3905353244
73 -0.3872851036
76 -0.3851431220
89 -0.3803697344
95 -0.3725569166
96 -0.3645604836
106 -0.3490682619
110 -0.3483059641
114 -0.3476893818
126 -0.3397100464
138 -0.3389082054
145 -0.3383383214
170 -0.3360588730
185 -0.3348664429
202 -0.3340381313
204 -0.3249665857
277 -0.3242255683
298 -0.3198603826
353 -0.3197339771
354 -0.3144143413
481 -0.3110889839
482 -0.3104354188
508 -0.3085643995
100000 -0.3163772174
evaluations raw_y
1 -0.4895105626
3 -0.4880254857
5 -0.4866316329
7 -0.4835208437
9 -0.4813788620
13 -0.4748535918
14 -0.4680070893
16 -0.4679020491
17 -0.4632071216
22 -0.4627320982
26 -0.4615396681
28 -0.4529062339
30 -0.4494266794
31 -0.4458446013
33 -0.4448355894
35 -0.4422735142
38 -0.4355831999
40 -0.4343426662
41 -0.4290230304
47 -0.4216460130
48 -0.4175627936
50 -0.4160412552
52 -0.4103984568
58 -0.4042337951
59 -0.3979450966
62 -0.3967148065
74 -0.3849226516
85 -0.3843527677
88 -0.3797205681
102 -0.3771320842
106 -0.3727801030
108 -0.3713381945
122 -0.3680128371
123 -0.3673962548
131 -0.3620370591
133 -0.3572255276
135 -0.3568775706
147 -0.3568205078
158 -0.3541663777
163 -0.3541169910
167 -0.3492377362
176 -0.3445440696
178 -0.3343669550
180 -0.3337133899
187 -0.3251993675
192 -0.3214089355
197 -0.3152047768
288 -0.3089167245
311 -0.3066089741
365 -0.3066005889
370 -0.3062690149
100000 -0.3135203525
evaluations raw_y
1 -0.5255937274
2 -0.5221534383
3 -0.5182061310
4 -0.5152131493
6 -0.5145202980
7 -0.5050359412
8 -0.5037644329
9 -0.4999142091
10 -0.4908426635
14 -0.4771242570
18 -0.4748633230
20 -0.4646284366
25 -0.4573786276
26 -0.4554092864
28 -0.4535042990
29 -0.4500770143
33 -0.4427945318
34 -0.4374856559
35 -0.4321225064
39 -0.4262261259
42 -0.4236576378
43 -0.4206738383
48 -0.4101000001
50 -0.4051460116
54 -0.4039054779
55 -0.4001150460
56 -0.3996400226
60 -0.3992981935
69 -0.3945638009
74 -0.3906851714
80 -0.3900685892
87 -0.3897445509
95 -0.3893299055
99 -0.3858428480
104 -0.3789901927
116 -0.3782121011
119 -0.3738469153
120 -0.3712584314
122 -0.3707783114
132 -0.3699158004
141 -0.3683942621
148 -0.3608732884
172 -0.3585655379
173 -0.3558992546
176 -0.3544252600
177 -0.3496137286
