evaluations raw_y
1 -0.5396708657
2 -0.4881344955
6 -0.4853449194
8 -0.4693190855
104 -0.4577456994
129 -0.4565586859
132 -0.4487326613
557 -0.4479431184
726 -0.4206950158
3208 -0.4170798797
26056 -0.4157221424
26941 -0.4077972829
82655 -0.4044886671
100000 -0.4956847987
evaluations raw_y
1 -0.4540317631
132 -0.4475312313
147 -0.4387508699
578 -0.4360969125
944 -0.4197476093
19160 -0.4178806007
21830 -0.4155176644
32460 -0.4121882561
44261 -0.4017697818
100000 -0.4779181830
evaluations raw_y
1 -0.5253707950
2 -0.5002223057
10 -0.5000530204
15 -0.4786961648
18 -0.4747109332
42 -0.4710546864
50 -0.4450175546
57 -0.4408205116
93 -0.4289583105
3546 -0.4272809756
6060 -0.4106984410
31011 -0.4029926344
31208 -0.4006768842
36383 -0.3999892459
100000 -0.5252617709
evaluations raw_y
1 -0.4855871140
8 -0.4526544729
41 -0.4526540967
70 -0.4519741709
110 -0.4434546438
361 -0.4408345833
1472 -0.4367053899
2093 -0.4327153581
3684 -0.4200014669
8086 -0.4057229230
100000 -0.4823470539
evaluations raw_y
1 -0.5359067823
2 -0.5129677446
3 -0.5061837698
5 -0.5054901482
6 -0.4986692138
8 -0.4824273257
15 -0.4783617025
18 -0.4654333267
26 -0.4476935897
63 -0.4397290777
106 -0.4396080192
140 -0.4259813678
1677 -0.4213627970
5191 -0.4211779807
7065 -0.4114358646
13412 -0.4112440125
73733 -0.4064871526
100000 -0.4593145960
evaluations raw_y
1 -0.4879712502
13 -0.4700232856
28 -0.4565099374
59 -0.4345194408
1539 -0.4328210464
2565 -0.4309536663
5254 -0.4236430941
7437 -0.4221017479
10064 -0.4152412150
22484 -0.4062945692
93922 -0.4031103434
100000 -0.4911342301
evaluations raw_y
1 -0.5021361408
4 -0.5009925823
11 -0.4992630099
12 -0.4783905299
15 -0.4666660350
40 -0.4653309992
44 -0.4636732854
87 -0.4618035669
119 -0.4606264707
204 -0.4587095876
259 -0.4522562366
426 -0.4251242422
1201 -0.4201273580
3987 -0.4063443954
100000 -0.4860014013
evaluations raw_y
1 -0.4822668873
7 -0.4681460450
20 -0.4635648528
50 -0.4362945135
266 -0.4346810024
540 -0.4100170479
33188 -0.4055229087
100000 -0.5162084592
evaluations raw_y
1 -0.5519035498
2 -0.5360532810
4 -0.4981707002
6 -0.4938985796
9 -0.4857903869
14 -0.4520645749
98 -0.4468030635
