evaluations raw_y
1 2495.0000000000
5 2555.0000000000
9 2585.0000000000
11 2658.0000000000
14 2674.0000000000
16 2717.0000000000
17 2801.0000000000
20 2828.0000000000
22 2936.0000000000
27 2962.0000000000
36 3060.0000000000
48 3073.0000000000
49 3151.0000000000
51 3190.0000000000
53 3261.0000000000
56 3354.0000000000
59 3388.0000000000
61 3436.0000000000
66 3508.0000000000
70 3608.0000000000
89 3670.0000000000
92 3760.0000000000
107 3786.0000000000
116 3805.0000000000
119 3846.0000000000
127 3911.0000000000
135 4020.0000000000
144 4039.0000000000
145 4043.0000000000
155 4083.0000000000
157 4103.0000000000
163 4161.0000000000
166 4174.0000000000
185 4199.0000000000
191 4255.0000000000
226 4305.0000000000
235 4378.0000000000
251 4492.0000000000
255 4544.0000000000
260 4597.0000000000
262 4615.0000000000
275 4657.0000000000
291 4695.0000000000
302 4761.0000000000
372 4830.0000000000
380 4835.0000000000
463 4836.0000000000
485 4872.0000000000
596 4888.0000000000
660 4904.0000000000
728 4908.0000000000
751 4953.0000000000
860 5042.0000000000
1622 5050.0000000000
evaluations raw_y
1 2732.0000000000
5 2800.0000000000
8 2936.0000000000
15 2973.0000000000
18 3050.0000000000
21 3078.0000000000
23 3243.0000000000
27 3299.0000000000
32 3304.0000000000
34 3337.0000000000
35 3479.0000000000
36 3515.0000000000
41 3568.0000000000
62 3589.0000000000
76 3595.0000000000
82 3638.0000000000
83 3647.0000000000
89 3652.0000000000
93 3684.0000000000
94 3739.0000000000
99 3789.0000000000
102 3825.0000000000
126 3842.0000000000
131 3896.0000000000
134 3906.0000000000
156 3924.0000000000
158 3966.0000000000
161 4047.0000000000
168 4066.0000000000
170 4105.0000000000
175 4121.0000000000
180 4215.0000000000
192 4296.0000000000
198 4365.0000000000
209 4369.0000000000
258 4449.0000000000
279 4495.0000000000
283 4526.0000000000
320 4601.0000000000
340 4641.0000000000
347 4706.0000000000
393 4722.0000000000
395 4731.0000000000
398 4795.0000000000
455 4843.0000000000
493 4865.0000000000
551 4870.0000000000
597 4897.0000000000
612 4929.0000000000
722 4960.0000000000
751 5036.0000000000
1006 5050.0000000000
evaluations raw_y
1 2366.0000000000
3 2377.0000000000
7 2418.0000000000
13 2503.0000000000
14 2554.0000000000
15 2576.0000000000
19 2633.0000000000
22 2654.0000000000
24 2695.0000000000
25 2756.0000000000
26 2832.0000000000
37 2911.0000000000
43 3029.0000000000
44 3052.0000000000
45 3084.0000000000
53 3148.0000000000
56 3194.0000000000
70 3225.0000000000
