evaluations raw_y
1 3025.0000000000
2 3108.0000000000
5 3175.0000000000
7 3193.0000000000
8 3215.0000000000
9 3279.0000000000
10 3321.0000000000
12 3411.0000000000
15 3431.0000000000
18 3464.0000000000
20 3557.0000000000
21 3604.0000000000
22 3655.0000000000
25 3734.0000000000
36 3777.0000000000
58 3846.0000000000
61 3861.0000000000
65 3935.0000000000
69 3962.0000000000
72 4057.0000000000
74 4148.0000000000
76 4153.0000000000
79 4240.0000000000
80 4332.0000000000
101 4357.0000000000
104 4413.0000000000
105 4484.0000000000
120 4538.0000000000
127 4548.0000000000
132 4550.0000000000
138 4609.0000000000
141 4645.0000000000
154 4720.0000000000
167 4814.0000000000
193 4833.0000000000
201 4877.0000000000
233 4935.0000000000
254 4951.0000000000
296 4980.0000000000
367 5001.0000000000
378 5027.0000000000
389 5050.0000000000
evaluations raw_y
1 3044.0000000000
6 3050.0000000000
7 3051.0000000000
15 3135.0000000000
17 3224.0000000000
19 3232.0000000000
20 3266.0000000000
23 3331.0000000000
28 3381.0000000000
29 3428.0000000000
30 3487.0000000000
33 3586.0000000000
35 3632.0000000000
37 3634.0000000000
40 3704.0000000000
41 3799.0000000000
46 3873.0000000000
48 3956.0000000000
50 3973.0000000000
51 3992.0000000000
54 4080.0000000000
62 4119.0000000000
68 4134.0000000000
70 4152.0000000000
80 4197.0000000000
84 4232.0000000000
92 4239.0000000000
108 4271.0000000000
109 4274.0000000000
116 4301.0000000000
122 4337.0000000000
124 4366.0000000000
129 4407.0000000000
132 4430.0000000000
134 4520.0000000000
139 4551.0000000000
154 4608.0000000000
156 4663.0000000000
178 4673.0000000000
183 4689.0000000000
193 4776.0000000000
208 4785.0000000000
230 4810.0000000000
269 4872.0000000000
279 4965.0000000000
583 5050.0000000000
evaluations raw_y
1 1942.0000000000
2 2040.0000000000
3 2099.0000000000
4 2157.0000000000
6 2161.0000000000
7 2244.0000000000
8 2278.0000000000
9 2292.0000000000
10 2329.0000000000
11 2426.0000000000
13 2506.0000000000
16 2528.0000000000
21 2588.0000000000
22 2650.0000000000
23 2734.0000000000
24 2805.0000000000
28 2823.0000000000
29 2888.0000000000
32 2909.0000000000
41 2994.0000000000
42 2995.0000000000
43 3034.0000000000
44 3065.0000000000
46 3101.0000000000
51 3121.0000000000
55 3153.0000000000
56 3226.0000000000
58 3293.0000000000
61 3393.0000000000
71 3443.0000000000
72 3536.0000000000
76 3578.0000000000
77 3673.0000000000
80 3727.0000000000
85 3740.0000000000
86 3788.0000000000
91 3834.0000000000
95 3923.0000000000
101 3953.0000000000
106 3972.0000000000
118 4066.0000000000
126 4143.0000000000
127 4224.0000000000
128 4264.0000000000
145 4305.0000000000
146 4329.0000000000
175 4408.0000000000
182 4483.0000000000
183 4532.0000000000
186 4595.0000000000
192 4656.0000000000
203 4689.0000000000
217 4691.0000000000
220 4707.0000000000
244 4752.0000000000
267 4777.0000000000
281 4853.0000000000
399 4864.0000000000
450 4963.0000000000
657 5050.0000000000
evaluations raw_y
1 2786.0000000000
3 2827.0000000000
4 2846.0000000000
7 2903.0000000000
9 2924.0000000000
14 2961.0000000000
16 2994.0000000000
17 3090.0000000000
21 3174.0000000000
25 3257.0000000000
29 3310.0000000000
31 3407.0000000000
35 3499.0000000000
36 3565.0000000000
46 3603.0000000000
53 3698.0000000000
57 3747.0000000000
66 3750.0000000000
67 3784.0000000000
71 3814.0000000000
73 3818.0000000000
76 3868.0000000000
80 3938.0000000000
90 3963.0000000000
98 4049.0000000000
102 4093.0000000000
103 4161.0000000000
107 4206.0000000000
111 4262.0000000000
116 4308.0000000000
120 4339.0000000000
124 4390.0000000000
127 4442.0000000000
129 4458.0000000000
133 4548.0000000000
155 4615.0000000000
162 4692.0000000000
188 4761.0000000000
203 4815.0000000000
234 4829.0000000000
248 4837.0000000000
295 4917.0000000000
306 4939.0000000000
471 5011.0000000000
475 5050.0000000000
evaluations raw_y
1 2781.0000000000
2 2792.0000000000
5 2882.0000000000
6 2963.0000000000
7 2985.0000000000
8 3080.0000000000
12 3109.0000000000
13 3160.0000000000
15 3206.0000000000
16 3219.0000000000
17 3233.0000000000
18 3254.0000000000
22 3277.0000000000
34 3313.0000000000
36 3385.0000000000
38 3440.0000000000
40 3516.0000000000
41 3579.0000000000
42 3639.0000000000
46 3705.0000000000
48 3770.0000000000
60 3808.0000000000
65 3833.0000000000
72 3883.0000000000
73 3932.0000000000
76 3952.0000000000
97 3971.0000000000
99 4059.0000000000
103 4093.0000000000
107 4135.0000000000
132 4210.0000000000
137 4266.0000000000
142 4272.0000000000
145 4276.0000000000
154 4316.0000000000
155 4402.0000000000
165 4500.0000000000
171 4503.0000000000
173 4572.0000000000
175 4598.0000000000
202 4626.0000000000
222 4710.0000000000
224 4758.0000000000
235 4819.0000000000
352 4916.0000000000
520 5009.0000000000
745 5050.0000000000
evaluations raw_y
1 2567.0000000000
2 2571.0000000000
3 2663.0000000000
6 2745.0000000000
8 2811.0000000000
9 2904.0000000000
12 2973.0000000000
13 3032.0000000000
15 3087.0000000000
17 3125.0000000000
21 3220.0000000000
24 3271.0000000000
27 3301.0000000000
28 3324.0000000000
29 3343.0000000000
30 3400.0000000000
34 3434.0000000000
42 3506.0000000000
45 3528.0000000000
48 3529.0000000000
49 3594.0000000000
56 3683.0000000000
58 3751.0000000000
63 3763.0000000000
76 3857.0000000000
79 3941.0000000000
80 3983.0000000000
82 4074.0000000000
83 4083.0000000000
104 4129.0000000000
110 4132.0000000000
111 4149.0000000000
124 4196.0000000000
129 4228.0000000000
150 4313.0000000000
155 4354.0000000000
161 4433.0000000000
162 4511.0000000000
168 4584.0000000000
213 4610.0000000000
226 4616.0000000000
238 4644.0000000000
250 4743.0000000000
252 4764.0000000000
321 4826.0000000000
329 4853.0000000000
359 4896.0000000000
374 4996.0000000000
622 5050.0000000000
evaluations raw_y
1 2746.0000000000
2 2803.0000000000
4 2841.0000000000
6 2867.0000000000
8 2880.0000000000
9 2946.0000000000
10 2989.0000000000
15 3060.0000000000
16 3121.0000000000
17 3199.0000000000
21 3252.0000000000
22 3276.0000000000
29 3279.0000000000
36 3308.0000000000
40 3377.0000000000
41 3385.0000000000
47 3413.0000000000
48 3467.0000000000
50 3490.0000000000
59 3526.0000000000
63 3533.0000000000
68 3544.0000000000
71 3554.0000000000
75 3636.0000000000
76 3663.0000000000
78 3736.0000000000
80 3750.0000000000
81 3790.0000000000
85 3850.0000000000
86 3882.0000000000
100 3957.0000000000
110 4047.0000000000
125 4121.0000000000
127 4169.0000000000
145 4202.0000000000
152 4257.0000000000
169 4353.0000000000
174 4378.0000000000
186 4472.0000000000
200 4487.0000000000
213 4563.0000000000
231 4626.0000000000
243 4721.0000000000
244 4766.0000000000
257 4816.0000000000
265 4828.0000000000
274 4905.0000000000
301 4954.0000000000
323 4971.0000000000
362 5050.0000000000
evaluations raw_y
1 2154.0000000000
5 2197.0000000000
6 2234.0000000000
8 2331.0000000000
11 2348.0000000000
12 2442.0000000000
14 2487.0000000000
17 2509.0000000000
18 2561.0000000000
20 2618.0000000000
22 2653.0000000000
27 2701.0000000000
28 2769.0000000000
29 2794.0000000000
30 2847.0000000000
34 2873.0000000000
35 2950.0000000000
38 2994.0000000000
47 3015.0000000000
49 3070.0000000000
55 3129.0000000000
56 3143.0000000000
58 3147.0000000000
59 3225.0000000000
60 3305.0000000000
62 3346.0000000000
69 3347.0000000000
71 3367.0000000000
72 3441.0000000000
75 3492.0000000000
76 3558.0000000000
78 3640.0000000000
79 3738.0000000000
84 3819.0000000000
89 3910.0000000000
91 3983.0000000000
94 3999.0000000000
107 4083.0000000000
109 4154.0000000000
122 4221.0000000000
125 4307.0000000000
126 4330.0000000000
129 4368.0000000000
132 4414.0000000000
137 4420.0000000000
143 4474.0000000000
147 4504.0000000000
172 4599.0000000000
182 4649.0000000000
188 4738.0000000000
189 4838.0000000000
193 4900.0000000000
209 4911.0000000000
273 4990.0000000000
665 5050.0000000000
evaluations raw_y
1 2026.0000000000
2 2053.0000000000
3 2125.0000000000
5 2172.0000000000
6 2191.0000000000
7 2285.0000000000
8 2319.0000000000
9 2396.0000000000
13 2454.0000000000
14 2461.0000000000
15 2479.0000000000
16 2528.0000000000
21 2590.0000000000
22 2685.0000000000
23 2737.0000000000
29 2747.0000000000
30 2800.0000000000
33 2843.0000000000
34 2845.0000000000
36 2850.0000000000
37 2890.0000000000
40 2955.0000000000
41 3047.0000000000
42 3062.0000000000
44 3068.0000000000
45 3166.0000000000
49 3182.0000000000
51 3204.0000000000
56 3286.0000000000
58 3370.0000000000
62 3381.0000000000
