evaluations raw_y
1 1914.0000000000
2 2550.0000000000
6 2798.0000000000
15 2908.0000000000
20 2913.0000000000
24 3107.0000000000
57 3147.0000000000
163 3333.0000000000
206 3356.0000000000
250 3411.0000000000
1371 3523.0000000000
7043 3526.0000000000
9672 3601.0000000000
21998 3611.0000000000
30637 3700.0000000000
50647 3708.0000000000
100000 3122.0000000000
evaluations raw_y
1 2350.0000000000
2 2372.0000000000
4 2878.0000000000
19 3180.0000000000
123 3314.0000000000
574 3369.0000000000
1486 3454.0000000000
6539 3501.0000000000
7000 3707.0000000000
35600 3731.0000000000
100000 3018.0000000000
evaluations raw_y
1 2686.0000000000
8 3027.0000000000
53 3099.0000000000
83 3185.0000000000
178 3340.0000000000
259 3462.0000000000
695 3500.0000000000
5880 3549.0000000000
17057 3735.0000000000
100000 2946.0000000000
evaluations raw_y
1 2064.0000000000
2 2665.0000000000
5 2726.0000000000
8 2875.0000000000
11 3050.0000000000
32 3153.0000000000
38 3237.0000000000
117 3401.0000000000
1356 3458.0000000000
2449 3476.0000000000
2455 3762.0000000000
100000 2369.0000000000
evaluations raw_y
1 2602.0000000000
2 3072.0000000000
23 3098.0000000000
124 3168.0000000000
129 3243.0000000000
154 3322.0000000000
805 3441.0000000000
4751 3488.0000000000
9460 3633.0000000000
13248 3659.0000000000
21969 3839.0000000000
79290 3843.0000000000
100000 2979.0000000000
evaluations raw_y
1 2479.0000000000
4 2597.0000000000
5 2748.0000000000
10 2904.0000000000
12 2975.0000000000
53 3126.0000000000
110 3136.0000000000
138 3260.0000000000
191 3299.0000000000
528 3310.0000000000
1001 3462.0000000000
2712 3482.0000000000
3034 3491.0000000000
4090 3570.0000000000
5276 3681.0000000000
72851 3703.0000000000
100000 2727.0000000000
evaluations raw_y
1 2561.0000000000
2 2581.0000000000
5 2948.0000000000
12 3047.0000000000
30 3365.0000000000
133 3498.0000000000
5856 3525.0000000000
8346 3542.0000000000
12278 3592.0000000000
20083 3642.0000000000
62467 3671.0000000000
100000 2576.0000000000
evaluations raw_y
1 2261.0000000000
3 2369.0000000000
4 2995.0000000000
12 3140.0000000000
92 3196.0000000000
114 3376.0000000000
462 3475.0000000000
2588 3577.0000000000
26184 3597.0000000000
58348 3759.0000000000
100000 2182.0000000000
evaluations raw_y
1 1929.0000000000
2 2864.0000000000
4 3094.0000000000
61 3116.0000000000
370 3235.0000000000
412 3264.0000000000
476 3365.0000000000
586 3392.0000000000
2179 3455.0000000000
4653 3502.0000000000
8585 3679.0000000000
33625 3835.0000000000
100000 2727.0000000000
evaluations raw_y
1 2487.0000000000
2 2693.0000000000
3 2990.0000000000
10 2996.0000000000
