evaluations raw_y
1 0.8426019548
2 1.3609145346
109 1.3943112103
110 1.5994881638
135 1.6118633140
158 1.6244314490
193 1.6903313049
1240 1.7421602787
5612 1.8261504748
7072 1.8782870023
10829 1.9069412662
13854 1.9364833462
20337 2.0408163265
28344 2.2421524664
72593 2.2624434389
73599 2.4061597690
80980 2.5906735751
86795 2.6123301985
86850 2.7382256298
86985 2.8248587571
90283 3.2594524120
90349 3.3200531208
118212 3.4578146611
122211 3.5460992908
133925 3.6818851252
136650 3.8759689922
55029162 4.0783034258
55123100 4.0783034258
