evaluations raw_y
1 56.0000000000
2 58.0000000000
96 59.0000000000
99 62.0000000000
270 63.0000000000
880 64.0000000000
2540 65.0000000000
4492 67.0000000000
8180 70.0000000000
55882 71.0000000000
79438 74.0000000000
500000 42.0000000000
evaluations raw_y
1 55.0000000000
12 57.0000000000
30 59.0000000000
41 62.0000000000
52 66.0000000000
2875 68.0000000000
15313 69.0000000000
19558 70.0000000000
134510 71.0000000000
268453 72.0000000000
500000 46.0000000000
evaluations raw_y
1 55.0000000000
2 57.0000000000
21 64.0000000000
207 65.0000000000
605 66.0000000000
979 67.0000000000
2734 68.0000000000
15544 69.0000000000
68316 70.0000000000
140945 72.0000000000
500000 56.0000000000
evaluations raw_y
1 45.0000000000
2 48.0000000000
4 52.0000000000
8 60.0000000000
163 61.0000000000
385 62.0000000000
566 65.0000000000
1860 69.0000000000
13824 72.0000000000
500000 48.0000000000
evaluations raw_y
1 47.0000000000
2 52.0000000000
3 58.0000000000
26 59.0000000000
53 61.0000000000
189 66.0000000000
386 69.0000000000
8543 70.0000000000
56091 71.0000000000
77997 73.0000000000
500000 44.0000000000
evaluations raw_y
1 63.0000000000
77 66.0000000000
1045 69.0000000000
34571 43.0000000000
