evaluations raw_y
1 -1497.0000000000
2 -1361.0000000000
3 -1303.0000000000
9 -1263.0000000000
13 -923.0000000000
808 -661.0000000000
2478 -602.0000000000
3445 -592.0000000000
3920 -583.0000000000
4652 -495.0000000000
5513 -457.0000000000
5750 -379.0000000000
6323 -369.0000000000
7061 -359.0000000000
7939 -330.0000000000
7950 -262.0000000000
7953 -235.0000000000
8136 -233.0000000000
8953 -195.0000000000
9181 -177.0000000000
10685 -90.0000000000
13519 -61.0000000000
13857 -60.0000000000
13976 -33.0000000000
14103 -24.0000000000
15254 -15.0000000000
17628 3.0000000000
18505 4.0000000000
20223 5.0000000000
43416 6.0000000000
66400 7.0000000000
374374 8.0000000000
929128 9.0000000000
42285941 10.0000000000
42386000 -1429.0000000000
