evaluations raw_y
1 -0.4868100667
108 -0.4649755537
429 -0.4639000925
651 -0.4518780744
655 -0.4378841298
1257 -0.4296703823
1263 -0.4098331292
3685 -0.4091088155
4138 -0.4090319389
4352 -0.3879434788
5683 -0.3879387947
5685 -0.3829164124
5697 -0.3818932651
5719 -0.3817741329
5729 -0.3782183578
8706 -0.3741546394
8781 -0.3740729710
9130 -0.3638606553
10325 -0.3610680671
13111 -0.3564371755
13238 -0.3525791378
13371 -0.3525252971
13573 -0.3495535872
13591 -0.3492563337
13597 -0.3488779304
13619 -0.3434301806
15248 -0.3432393410
15252 -0.3423791896
15264 -0.3404968324
15271 -0.3393126809
15458 -0.3370057820
16355 -0.3360590927
16746 -0.3338984764
17111 -0.3281058556
18968 -0.3253310661
19858 -0.3234115699
19876 -0.3222615239
20099 -0.3206952292
20122 -0.3194013962
20182 -0.3188155880
21485 -0.3118816307
23537 -0.3111196586
26091 -0.3101192250
26518 -0.3081365539
27189 -0.3075982130
27798 -0.3069196159
28493 -0.3067235219
28603 -0.3042651504
29827 -0.3029028522
33387 -0.3027785213
34298 -0.3018679321
35334 -0.3017695095
35893 -0.3014335135
35900 -0.3006316725
35906 -0.2987929876
40048 -0.2970986200
45414 -0.2963617814
47238 -0.2960233662
49319 -0.2953565623
51816 -0.2947999172
52299 -0.2945232941
54106 -0.2945149089
56183 -0.2941833349
64336 -0.2941262721
68099 -0.2936067395
68436 -0.2933924922
69379 -0.2928573370
154917 -0.2928002742
55098300 -0.3015078417
