evaluations raw_y
1 2934.0000000000
2 3152.0000000000
427 3224.0000000000
638 3266.0000000000
1161 3565.0000000000
1548 3567.0000000000
1550 3569.0000000000
1554 3573.0000000000
1557 3576.0000000000
1560 3579.0000000000
1566 3585.0000000000
1570 3589.0000000000
1575 3594.0000000000
1578 3597.0000000000
1581 3600.0000000000
1586 3605.0000000000
1588 3607.0000000000
1594 3613.0000000000
1595 3614.0000000000
1597 3616.0000000000
1604 3623.0000000000
2029 3843.0000000000
2031 3845.0000000000
2035 3849.0000000000
2036 3850.0000000000
2039 3853.0000000000
2040 3854.0000000000
2050 3864.0000000000
2052 3866.0000000000
2057 3871.0000000000
2059 3873.0000000000
2063 3877.0000000000
2072 3886.0000000000
2074 3888.0000000000
2076 3890.0000000000
2078 3892.0000000000
2081 3895.0000000000
2083 3897.0000000000
2084 3898.0000000000
2088 3902.0000000000
2094 3908.0000000000
2100 3914.0000000000
2103 3917.0000000000
2107 3921.0000000000
2109 3923.0000000000
2110 3924.0000000000
2112 3926.0000000000
2128 3942.0000000000
2748 3944.0000000000
2749 3945.0000000000
2751 3947.0000000000
2766 3981.0000000000
3201 3982.0000000000
3206 3987.0000000000
3210 3991.0000000000
3211 3992.0000000000
3219 4000.0000000000
3562 4080.0000000000
4127 4084.0000000000
4229 4266.0000000000
4561 4445.0000000000
4562 4446.0000000000
4563 4447.0000000000
4565 4449.0000000000
4573 4457.0000000000
4577 4461.0000000000
4585 4469.0000000000
4586 4470.0000000000
4587 4471.0000000000
4597 4481.0000000000
4599 4483.0000000000
4603 4487.0000000000
4604 4488.0000000000
4613 4497.0000000000
4615 4499.0000000000
4627 4511.0000000000
4633 4517.0000000000
4653 4537.0000000000
5954 4641.0000000000
6307 4742.0000000000
6309 4744.0000000000
6311 4746.0000000000
6312 4747.0000000000
6315 4750.0000000000
6322 4757.0000000000
6325 4760.0000000000
6336 4771.0000000000
6340 4775.0000000000
6343 4778.0000000000
6350 4785.0000000000
6352 4787.0000000000
6377 4812.0000000000
7127 4819.0000000000
7284 4897.0000000000
8638 4915.0000000000
8649 4926.0000000000
9424 4936.0000000000
10306 4942.0000000000
10724 4982.0000000000
11969 4984.0000000000
12032 4988.0000000000
12458 4993.0000000000
12806 4994.0000000000
13011 5014.0000000000
13039 5020.0000000000
13737 5045.0000000000
13742 5050.0000000000
15218 5050.0000000000
