evaluations raw_y
1 0.9077705156
2 1.2007684918
5 1.8355359765
54 1.8796992481
110 2.1367521368
226 2.4752475248
3298 2.8344671202
6495 2.9976019185
58850 3.0562347188
68550 3.1172069825
82127 3.1806615776
125000 1.0271158587
evaluations raw_y
1 1.3572204126
29 2.1367521368
156 2.5150905433
418 2.5562372188
1990 3.1806615776
16830 4.4483985765
125000 0.6053268765
evaluations raw_y
1 1.3340448239
7 1.6254876463
21 1.6960651289
74 1.9260400616
247 2.0525451560
447 2.4752475248
3861 2.7839643653
23993 3.9936102236
125000 1.2007684918
evaluations raw_y
1 1.0692899914
3 1.3340448239
5 1.3691128149
7 1.3935340022
16 1.4723203769
45 1.4863258026
57 1.6778523490
74 1.6960651289
103 1.9747235387
180 2.1079258010
304 2.1663778163
324 2.4366471735
1161 2.7839643653
4261 3.2467532468
125000 0.9405568096
evaluations raw_y
1 1.4863258026
10 1.6087516088
16 1.6254876463
38 1.9025875190
41 2.3277467412
694 2.3629489603
1855 2.3992322457
2318 2.6427061311
10559 2.6881720430
10766 2.8344671202
29671 2.9411764706
56133 3.3156498674
125000 1.3227513228
evaluations raw_y
1 0.8973438622
2 0.9349289454
3 1.1478420569
5 1.6778523490
26 1.7934002869
42 2.5562372188
2802 2.9411764706
11288 2.9976019185
111341 3.1172069825
125000 1.0766580534
evaluations raw_y
1 0.8626639061
2 1.3340448239
4 1.6254876463
38 1.6425755585
42 2.0259319287
84 2.1663778163
885 2.4366471735
3082 2.5987525988
3450 2.6427061311
3570 2.6881720430
14962 2.9976019185
63389 3.1172069825
88082 3.1806615776
125000 1.4585764294
evaluations raw_y
1 1.0917030568
4 1.7146776406
33 1.7531556802
87 1.9025875190
122 2.2935779817
852 2.8344671202
1869 2.9976019185
16370 3.1806615776
50446 3.7091988131
125000 0.9349289454
evaluations raw_y
1 1.0204081633
2 1.1312217195
6 1.1916110582
7 1.2899896801
9 1.3812154696
14 1.3935340022
18 1.7934002869
21 1.9260400616
39 2.3629489603
2461 2.5987525988
2510 2.6427061311
3482 2.6881720430
4241 2.9411764706
100566 3.0562347188
125000 1.8796992481
evaluations raw_y
1 1.3455328310
6 2.3277467412
3709 2.9976019185
34979 3.1806615776
125000 1.4188422247
