evaluations raw_y
1 29.0000000000
6 30.0000000000
71 33.0000000000
87 34.0000000000
114 35.0000000000
844 36.0000000000
6222 37.0000000000
6248 38.0000000000
6823 39.0000000000
114327 40.0000000000
125000 23.0000000000
evaluations raw_y
1 28.0000000000
8 29.0000000000
12 31.0000000000
58 32.0000000000
96 33.0000000000
98 34.0000000000
633 36.0000000000
10366 38.0000000000
26474 39.0000000000
31528 40.0000000000
125000 23.0000000000
evaluations raw_y
1 29.0000000000
9 31.0000000000
43 32.0000000000
121 34.0000000000
245 36.0000000000
334 37.0000000000
25659 40.0000000000
125000 28.0000000000
evaluations raw_y
1 27.0000000000
3 30.0000000000
13 31.0000000000
78 35.0000000000
1478 38.0000000000
2206 39.0000000000
85998 41.0000000000
125000 28.0000000000
evaluations raw_y
1 19.0000000000
2 28.0000000000
4 30.0000000000
10 33.0000000000
39 34.0000000000
185 35.0000000000
904 36.0000000000
1619 38.0000000000
8669 41.0000000000
125000 28.0000000000
evaluations raw_y
1 24.0000000000
3 25.0000000000
5 28.0000000000
11 29.0000000000
26 32.0000000000
29 34.0000000000
678 35.0000000000
1621 36.0000000000
3634 38.0000000000
12667 39.0000000000
125000 25.0000000000
evaluations raw_y
1 22.0000000000
2 25.0000000000
3 33.0000000000
126 34.0000000000
442 35.0000000000
1141 38.0000000000
6117 40.0000000000
20138 41.0000000000
125000 27.0000000000
evaluations raw_y
1 25.0000000000
3 26.0000000000
5 28.0000000000
15 30.0000000000
20 32.0000000000
65 35.0000000000
221 36.0000000000
2679 39.0000000000
30073 41.0000000000
125000 26.0000000000
evaluations raw_y
1 24.0000000000
4 25.0000000000
5 29.0000000000
12 31.0000000000
59 33.0000000000
93 34.0000000000
888 36.0000000000
1731 37.0000000000
11774 38.0000000000
35446 40.0000000000
125000 25.0000000000
evaluations raw_y
1 23.0000000000
2 24.0000000000
5 25.0000000000
6 26.0000000000
8 27.0000000000
9 28.0000000000
13 31.0000000000
18 32.0000000000
73 33.0000000000
120 35.0000000000
1341 36.0000000000
2642 38.0000000000
32477 39.0000000000
125000 25.0000000000
