evaluations raw_y
1 1.0000000000
5 3.0000000000
17 4.0000000000
51 5.0000000000
150 6.0000000000
689 7.0000000000
839 8.0000000000
930 13.0000000000
8096 17.0000000000
117513 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
3 1.0000000000
12 2.0000000000
16 4.0000000000
49 5.0000000000
135 6.0000000000
191 7.0000000000
413 8.0000000000
612 11.0000000000
1970 12.0000000000
22375 13.0000000000
34694 14.0000000000
105153 15.0000000000
114196 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
8 4.0000000000
26 5.0000000000
28 8.0000000000
658 9.0000000000
1567 11.0000000000
2042 12.0000000000
15490 13.0000000000
38271 14.0000000000
83097 17.0000000000
125000 0.0000000000
evaluations raw_y
1 1.0000000000
12 2.0000000000
14 4.0000000000
24 7.0000000000
230 11.0000000000
5312 13.0000000000
13944 14.0000000000
113448 15.0000000000
115097 18.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
5 2.0000000000
10 6.0000000000
158 13.0000000000
16418 16.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
19 3.0000000000
23 4.0000000000
35 6.0000000000
41 7.0000000000
764 9.0000000000
2568 13.0000000000
13104 14.0000000000
26866 21.0000000000
125000 2.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
9 2.0000000000
11 3.0000000000
12 5.0000000000
95 6.0000000000
177 14.0000000000
45416 15.0000000000
95287 17.0000000000
125000 1.0000000000
evaluations raw_y
1 1.0000000000
3 4.0000000000
15 6.0000000000
32 8.0000000000
406 10.0000000000
495 11.0000000000
4367 14.0000000000
31260 15.0000000000
123545 18.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
6 3.0000000000
30 4.0000000000
95 6.0000000000
269 9.0000000000
433 11.0000000000
18617 12.0000000000
21514 15.0000000000
125000 0.0000000000
evaluations raw_y
1 0.0000000000
4 1.0000000000
5 2.0000000000
7 4.0000000000
38 5.0000000000
44 6.0000000000
110 9.0000000000
1682 11.0000000000
5838 14.0000000000
8896 15.0000000000
101886 16.0000000000
104797 17.0000000000
125000 1.0000000000
