evaluations raw_y
1 0.8989572096
3 1.1018069634
4 1.4425851125
7 1.4819205691
17 1.5069318867
22 1.5197568389
61 1.6414970453
78 1.6545334216
85 1.7421602787
112 1.9011406844
191 1.9364833462
235 2.4390243902
290 2.4437927664
324 2.5278058645
342 2.6511134677
387 2.8768699655
440 2.9726516052
575 3.0084235860
613 3.0902348578
699 3.2509752926
878 3.2851511170
972 3.3025099075
975 3.3288948069
1002 3.6603221083
1412 4.0518638574
58875 4.1186161450
59027 4.3936731107
200020 4.3936731107
evaluations raw_y
1 0.9127418766
3 1.2036591237
4 1.4196479273
7 1.5403573629
64 1.6700066800
103 1.7158544955
121 1.8341892883
167 1.9011406844
193 2.0955574183
230 2.1682567216
234 2.2182786158
303 2.3786869648
342 2.4015369837
383 2.4582104228
406 2.7685492802
432 2.8121484814
510 2.8184892897
617 2.9446407538
720 3.1446540881
839 3.3200531208
934 3.3829499323
33409 3.4293552812
33543 3.4770514604
33623 3.5663338088
33792 3.5971223022
34374 3.6496350365
35023 3.6818851252
35217 3.6927621861
35253 3.9745627981
35296 3.9872408293
35448 4.1597337770
35536 4.2016806723
35774 4.3630017452
36738 4.4091710758
200020 3.1685678074
evaluations raw_y
1 0.9366804046
2 1.1933174224
7 1.3728720483
8 1.5733165513
31 1.6722408027
48 1.7111567420
63 1.7844396859
128 1.8615040953
134 2.0408163265
149 2.0475020475
194 2.0610057708
199 2.1758050479
223 2.1910604733
274 2.3041474654
317 2.3084025854
356 2.4875621891
540 2.5641025641
620 2.6737967914
707 2.7262813522
848 2.7382256298
1022 2.7442371021
1131 2.7685492802
1256 2.8571428571
1387 2.8835063437
1538 2.9036004646
1600 3.0303030303
1686 3.2679738562
2009 3.4578146611
2427 3.5063113604
200020 2.1987686895
evaluations raw_y
1 1.1731581417
2 1.4662756598
23 1.4801657786
48 1.5142337977
55 1.5595757954
71 1.6202203500
104 2.1720243267
219 2.3212627669
259 2.4108003857
289 2.4154589372
300 2.4533856722
326 2.5075225677
345 2.5799793602
547 2.7144408252
754 2.7262813522
885 2.7746947836
887 2.9515938607
990 3.0303030303
1021 3.1847133758
1071 3.2258064516
1389 3.3025099075
1583 3.3112582781
2191 3.3921302578
2215 3.5260930889
2510 3.6075036075
2543 3.7037037037
2655 3.9001560062
3057 3.9370078740
3529 4.0257648953
200020 4.0257648953
evaluations raw_y
1 0.7460459564
2 1.0950503723
4 1.2658227848
6 1.3419216318
22 1.6436554898
68 1.7325017325
109 1.9762845850
148 2.1026072330
177 2.2261798753
235 2.2381378693
262 2.2872827081
287 2.3255813953
303 2.4201355276
305 2.4248302619
336 2.4975024975
348 2.5960539979
426 3.0156815440
571 3.1289111389
729 3.1685678074
758 3.1928480204
850 3.3647375505
950 3.3738191633
1151 3.5161744023
1591 3.5868005739
1759 3.5971223022
1920 3.8051750381
2424 3.9619651347
2584 4.1876046901
200020 3.8639876352
evaluations raw_y
1 1.0266940452
5 1.0633772863
6 1.1944577162
8 1.7895490336
141 1.8395879323
199 2.0341741253
293 2.2461814915
324 2.4201355276
349 2.5075225677
366 2.6511134677
511 2.6680896478
551 2.9103608847
667 2.9940119760
716 3.0902348578
828 3.2594524120
880 3.2679738562
940 3.4578146611
19596 3.4770514604
20096 3.5868005739
21098 3.6496350365
21192 3.8167938931
21436 3.9001560062
21789 4.0650406504
22152 4.1876046901
22224 4.2444821732
22271 4.4722719141
200020 2.1533161068
evaluations raw_y
1 0.7060152499
2 1.4343086632
44 1.4475969890
53 1.5832805573
74 1.6393442623
174 1.7618040874
180 2.1422450728
339 2.2872827081
353 2.4061597690
356 2.4975024975
389 2.7085590466
433 2.7203482046
467 2.7502750275
472 2.8835063437
563 3.0525030525
697 3.1525851198
916 3.4199726402
1051 3.5161744023
1085 3.6710719530
1491 3.7936267071
90514 3.8284839204
115505 3.9246467818
200020 3.2765399738
evaluations raw_y
1 0.6546216287
2 0.9877518767
3 1.0044194456
5 1.2774655084
16 1.3477088949
19 1.4543339151
90 1.5772870662
123 1.6097875080
162 1.6589250166
168 1.7064846416
169 1.7818959373
187 1.8155410312
220 2.0475020475
241 2.1949078139
281 2.2381378693
400 2.2706630336
409 2.3518344309
455 2.3923444976
468 2.4437927664
489 2.5125628141
604 2.7027027027
613 2.7624309392
672 3.0229746070
743 3.0902348578
1194 3.2092426187
5074 3.2258064516
5300 3.5868005739
134219 3.7257824143
134841 3.8759689922
134904 3.9246467818
134994 4.2881646655
200020 2.5025025025
evaluations raw_y
1 1.1933174224
2 1.3262599469
25 1.8315018315
155 1.8726591760
164 1.9485580670
189 2.0308692120
235 2.0374898126
256 2.1385799829
274 2.1422450728
297 2.1910604733
311 2.1949078139
315 2.2872827081
352 2.3923444976
364 2.4925224327
403 2.6178010471
450 2.6737967914
472 2.6852846402
492 2.7322404372
511 2.9036004646
561 2.9239766082
587 2.9446407538
641 2.9940119760
666 3.3200531208
768 3.4387895461
7909 3.4578146611
12058 3.5561877667
12659 3.5868005739
12738 3.8167938931
200020 3.8167938931
evaluations raw_y
1 1.1483693156
2 1.4731879788
15 1.5873015873
36 1.6436554898
73 1.8615040953
124 1.8982536067
141 2.0112630732
217 2.0678246485
249 2.1061499579
253 2.1349274125
260 2.2182786158
275 2.2542831380
364 2.4061597690
381 2.5746652935
429 2.7932960894
470 3.1133250311
598 3.1446540881
608 3.2341526520
752 3.5561877667
1140 3.5663338088
7077 3.6496350365
7235 3.9246467818
7557 3.9370078740
7720 4.1876046901
200020 2.7382256298
