evaluations raw_y
1 51.0000000000
2 54.0000000000
6 55.0000000000
12 57.0000000000
16 67.0000000000
68 72.0000000000
141 75.0000000000
198 76.0000000000
225 79.0000000000
262 80.0000000000
275 81.0000000000
303 82.0000000000
309 86.0000000000
375 88.0000000000
410 89.0000000000
434 90.0000000000
508 93.0000000000
565 94.0000000000
580 95.0000000000
601 96.0000000000
684 98.0000000000
718 99.0000000000
743 100.0000000000
780 93.0000000000
evaluations raw_y
1 53.0000000000
2 56.0000000000
9 58.0000000000
14 61.0000000000
65 65.0000000000
89 67.0000000000
141 70.0000000000
184 75.0000000000
238 79.0000000000
333 80.0000000000
370 81.0000000000
382 82.0000000000
392 83.0000000000
440 84.0000000000
465 85.0000000000
512 86.0000000000
522 89.0000000000
598 90.0000000000
630 91.0000000000
684 92.0000000000
701 93.0000000000
755 94.0000000000
800 95.0000000000
823 96.0000000000
845 97.0000000000
1114 98.0000000000
1256 99.0000000000
1476 100.0000000000
1500 97.0000000000
evaluations raw_y
1 47.0000000000
3 49.0000000000
5 50.0000000000
6 56.0000000000
14 57.0000000000
21 59.0000000000
42 60.0000000000
62 62.0000000000
72 63.0000000000
87 65.0000000000
111 66.0000000000
126 68.0000000000
132 69.0000000000
158 70.0000000000
160 72.0000000000
219 75.0000000000
227 77.0000000000
280 79.0000000000
301 81.0000000000
341 82.0000000000
388 83.0000000000
434 84.0000000000
446 87.0000000000
493 88.0000000000
503 89.0000000000
547 91.0000000000
628 92.0000000000
690 93.0000000000
764 94.0000000000
769 95.0000000000
842 96.0000000000
886 97.0000000000
974 98.0000000000
1052 99.0000000000
1226 100.0000000000
1260 97.0000000000
evaluations raw_y
1 48.0000000000
2 52.0000000000
3 54.0000000000
6 56.0000000000
7 58.0000000000
22 60.0000000000
39 62.0000000000
66 63.0000000000
77 65.0000000000
101 69.0000000000
150 70.0000000000
165 72.0000000000
226 74.0000000000
257 76.0000000000
261 77.0000000000
307 78.0000000000
341 79.0000000000
377 82.0000000000
423 84.0000000000
494 85.0000000000
555 87.0000000000
590 89.0000000000
601 90.0000000000
647 91.0000000000
725 92.0000000000
759 93.0000000000
853 94.0000000000
914 95.0000000000
941 96.0000000000
1107 97.0000000000
1288 98.0000000000
1391 99.0000000000
1461 100.0000000000
1500 97.0000000000
evaluations raw_y
1 55.0000000000
3 58.0000000000
32 61.0000000000
35 63.0000000000
66 65.0000000000
82 67.0000000000
106 68.0000000000
118 69.0000000000
156 70.0000000000
164 71.0000000000
178 72.0000000000
186 74.0000000000
222 76.0000000000
242 77.0000000000
245 78.0000000000
267 79.0000000000
278 80.0000000000
306 82.0000000000
360 83.0000000000
383 84.0000000000
443 85.0000000000
466 87.0000000000
490 89.0000000000
549 90.0000000000
587 92.0000000000
656 93.0000000000
703 94.0000000000
739 95.0000000000
819 96.0000000000
875 97.0000000000
1133 98.0000000000
1358 99.0000000000
1675 100.0000000000
1700 97.0000000000
evaluations raw_y
1 51.0000000000
4 58.0000000000
6 59.0000000000
46 61.0000000000
61 65.0000000000
106 67.0000000000
124 68.0000000000
141 69.0000000000
144 72.0000000000
157 73.0000000000
227 74.0000000000
240 77.0000000000
276 78.0000000000
309 79.0000000000
342 80.0000000000
355 82.0000000000
371 83.0000000000
438 85.0000000000
498 88.0000000000
511 91.0000000000
625 92.0000000000
673 93.0000000000
710 94.0000000000
746 95.0000000000
823 96.0000000000
881 97.0000000000
957 98.0000000000
1100 99.0000000000
1543 100.0000000000
1580 99.0000000000
evaluations raw_y
1 52.0000000000
12 53.0000000000
24 54.0000000000
52 55.0000000000
61 57.0000000000
66 58.0000000000
83 59.0000000000
101 64.0000000000
145 66.0000000000
151 67.0000000000
181 68.0000000000
184 71.0000000000
199 72.0000000000
230 73.0000000000
243 76.0000000000
305 77.0000000000
312 78.0000000000
320 81.0000000000
346 82.0000000000
384 83.0000000000
394 84.0000000000
455 85.0000000000
466 86.0000000000
519 87.0000000000
533 88.0000000000
559 89.0000000000
591 90.0000000000
621 91.0000000000
661 93.0000000000
763 94.0000000000
794 95.0000000000
842 96.0000000000
897 97.0000000000
922 98.0000000000
979 99.0000000000
984 100.0000000000
1020 97.0000000000
evaluations raw_y
1 45.0000000000
2 59.0000000000
26 61.0000000000
65 62.0000000000
103 63.0000000000
111 64.0000000000
116 66.0000000000
128 68.0000000000
145 69.0000000000
183 74.0000000000
288 75.0000000000
298 78.0000000000
349 79.0000000000
406 80.0000000000
419 81.0000000000
433 84.0000000000
437 85.0000000000
471 86.0000000000
508 88.0000000000
621 89.0000000000
629 90.0000000000
733 91.0000000000
777 92.0000000000
827 93.0000000000
868 94.0000000000
927 96.0000000000
1047 98.0000000000
1193 99.0000000000
1395 100.0000000000
1420 98.0000000000
evaluations raw_y
1 53.0000000000
2 55.0000000000
3 59.0000000000
59 60.0000000000
64 64.0000000000
113 65.0000000000
134 66.0000000000
142 69.0000000000
188 77.0000000000
242 78.0000000000
249 79.0000000000
262 80.0000000000
303 81.0000000000
305 84.0000000000
376 85.0000000000
414 87.0000000000
432 88.0000000000
464 89.0000000000
500 90.0000000000
523 91.0000000000
551 92.0000000000
611 93.0000000000
658 94.0000000000
730 95.0000000000
776 96.0000000000
819 97.0000000000
843 98.0000000000
1131 99.0000000000
1350 100.0000000000
1380 98.0000000000
evaluations raw_y
1 44.0000000000
2 45.0000000000
5 55.0000000000
14 56.0000000000
15 62.0000000000
48 64.0000000000
62 68.0000000000
107 69.0000000000
135 70.0000000000
150 71.0000000000
171 75.0000000000
227 78.0000000000
265 79.0000000000
284 80.0000000000
343 81.0000000000
355 82.0000000000
398 83.0000000000
423 85.0000000000
454 87.0000000000
506 88.0000000000
543 89.0000000000
593 90.0000000000
671 91.0000000000
748 92.0000000000
797 93.0000000000
834 94.0000000000
854 95.0000000000
940 96.0000000000
981 97.0000000000
989 98.0000000000
1162 99.0000000000
1285 100.0000000000
1300 99.0000000000
