evaluations raw_y
1 -1371.0000000000
3 -1088.0000000000
20 -894.0000000000
28 -855.0000000000
66 -825.0000000000
71 -806.0000000000
111 -680.0000000000
141 -534.0000000000
165 -514.0000000000
198 -475.0000000000
232 -456.0000000000
242 -389.0000000000
283 -388.0000000000
304 -369.0000000000
314 -359.0000000000
316 -351.0000000000
325 -349.0000000000
359 -340.0000000000
361 -320.0000000000
378 -310.0000000000
395 -301.0000000000
416 -291.0000000000
422 -262.0000000000
488 -253.0000000000
490 -223.0000000000
513 -213.0000000000
524 -205.0000000000
540 -185.0000000000
544 -175.0000000000
590 -157.0000000000
592 -127.0000000000
624 -107.0000000000
652 -98.0000000000
664 -70.0000000000
707 -69.0000000000
738 -60.0000000000
748 -41.0000000000
786 -31.0000000000
796 -22.0000000000
831 -21.0000000000
877 -13.0000000000
891 -12.0000000000
932 -4.0000000000
1047 -3.0000000000
1105 -2.0000000000
1178 6.0000000000
1260 7.0000000000
1449 8.0000000000
1856 9.0000000000
200020 -39.0000000000
evaluations raw_y
1 -1157.0000000000
17 -1118.0000000000
25 -1050.0000000000
27 -904.0000000000
69 -875.0000000000
89 -826.0000000000
102 -778.0000000000
113 -758.0000000000
125 -748.0000000000
127 -700.0000000000
143 -602.0000000000
175 -583.0000000000
204 -564.0000000000
211 -525.0000000000
223 -496.0000000000
229 -486.0000000000
264 -466.0000000000
272 -409.0000000000
302 -292.0000000000
346 -253.0000000000
356 -244.0000000000
358 -235.0000000000
381 -166.0000000000
437 -147.0000000000
462 -138.0000000000
463 -99.0000000000
480 -90.0000000000
513 -81.0000000000
549 -60.0000000000
581 -51.0000000000
599 -32.0000000000
654 -23.0000000000
686 -13.0000000000
711 -12.0000000000
731 -4.0000000000
799 -3.0000000000
917 6.0000000000
1109 7.0000000000
1160 8.0000000000
1205 9.0000000000
200020 -11.0000000000
evaluations raw_y
1 -1313.0000000000
4 -1167.0000000000
8 -1021.0000000000
36 -972.0000000000
64 -963.0000000000
68 -904.0000000000
70 -875.0000000000
75 -826.0000000000
101 -758.0000000000
110 -738.0000000000
111 -652.0000000000
155 -544.0000000000
186 -535.0000000000
223 -331.0000000000
238 -321.0000000000
267 -310.0000000000
278 -263.0000000000
313 -244.0000000000
316 -195.0000000000
351 -194.0000000000
357 -176.0000000000
373 -61.0000000000
464 -51.0000000000
518 -23.0000000000
606 -14.0000000000
707 -5.0000000000
802 -4.0000000000
852 -3.0000000000
917 -2.0000000000
1116 7.0000000000
10807 8.0000000000
11032 9.0000000000
11170 10.0000000000
11180 -12.0000000000
evaluations raw_y
1 -1419.0000000000
5 -1332.0000000000
7 -1128.0000000000
14 -1107.0000000000
40 -1000.0000000000
58 -971.0000000000
67 -864.0000000000
101 -815.0000000000
133 -797.0000000000
144 -768.0000000000
149 -679.0000000000
163 -660.0000000000
185 -640.0000000000
187 -631.0000000000
198 -543.0000000000
267 -494.0000000000
304 -485.0000000000
308 -456.0000000000
338 -417.0000000000
354 -408.0000000000
355 -378.0000000000
382 -330.0000000000
424 -281.0000000000
450 -272.0000000000
453 -243.0000000000
467 -224.0000000000
478 -195.0000000000
536 -146.0000000000
555 -136.0000000000
577 -117.0000000000
612 -107.0000000000
662 -89.0000000000
668 -88.0000000000
709 -69.0000000000
747 -60.0000000000
779 -59.0000000000
813 -50.0000000000
843 -31.0000000000
852 -22.0000000000
887 -12.0000000000
919 -3.0000000000
1021 6.0000000000
1143 7.0000000000
1202 8.0000000000
1219 9.0000000000
200020 -59.0000000000
evaluations raw_y
1 -1537.0000000000
2 -1283.0000000000
3 -1274.0000000000
4 -1255.0000000000
10 -1128.0000000000
47 -1079.0000000000
62 -923.0000000000
92 -904.0000000000
106 -699.0000000000
145 -622.0000000000
183 -485.0000000000
236 -388.0000000000
266 -301.0000000000
320 -224.0000000000
399 -204.0000000000
422 -186.0000000000
451 -176.0000000000
463 -137.0000000000
505 -127.0000000000
540 -109.0000000000
545 -108.0000000000
553 -90.0000000000
581 -89.0000000000
584 -70.0000000000
630 -61.0000000000
661 -52.0000000000
663 -51.0000000000
669 -32.0000000000
721 -24.0000000000
782 -23.0000000000
787 -13.0000000000
870 -5.0000000000
901 -4.0000000000
958 -3.0000000000
1005 5.0000000000
1132 6.0000000000
1167 7.0000000000
1616 8.0000000000
200020 -11.0000000000
evaluations raw_y
1 -1761.0000000000
2 -1624.0000000000
3 -981.0000000000
40 -971.0000000000
62 -952.0000000000
92 -942.0000000000
104 -894.0000000000
106 -864.0000000000
133 -718.0000000000
161 -708.0000000000
181 -679.0000000000
184 -601.0000000000
200 -582.0000000000
246 -534.0000000000
263 -524.0000000000
276 -485.0000000000
280 -426.0000000000
303 -397.0000000000
349 -358.0000000000
376 -329.0000000000
399 -310.0000000000
422 -300.0000000000
444 -262.0000000000
475 -223.0000000000
541 -214.0000000000
581 -205.0000000000
586 -204.0000000000
602 -166.0000000000
629 -156.0000000000
669 -137.0000000000
705 -128.0000000000
713 -127.0000000000
