evaluations raw_y
1 6.8000000000
5 7.0000000000
8 7.4000000000
33 7.6000000000
40 8.0000000000
44 8.2000000000
59 8.4000000000
68 9.2000000000
87 9.6000000000
136 9.8000000000
138 10.0000000000
151 10.4000000000
181 10.8000000000
224 11.0000000000
226 13.2000000000
353 13.6000000000
406 13.8000000000
415 14.0000000000
422 14.2000000000
496 14.4000000000
506 14.6000000000
561 14.8000000000
682 15.0000000000
734 15.2000000000
791 15.6000000000
918 15.8000000000
992 16.0000000000
1036 16.2000000000
1246 16.4000000000
200020 16.2000000000
evaluations raw_y
1 6.6000000000
2 6.8000000000
4 7.4000000000
13 8.4000000000
62 9.0000000000
106 9.6000000000
186 10.0000000000
191 10.4000000000
259 10.8000000000
279 11.8000000000
352 12.0000000000
387 12.6000000000
428 12.8000000000
471 13.0000000000
512 13.2000000000
543 13.6000000000
606 14.0000000000
664 14.4000000000
768 14.8000000000
867 15.0000000000
943 15.2000000000
1074 15.4000000000
1076 15.6000000000
1189 15.8000000000
1236 16.0000000000
1426 16.2000000000
1634 16.4000000000
200020 15.6000000000
evaluations raw_y
1 6.4000000000
2 7.8000000000
7 8.0000000000
31 8.8000000000
64 9.2000000000
102 9.4000000000
108 10.0000000000
143 10.2000000000
195 10.6000000000
218 10.8000000000
231 11.0000000000
257 11.4000000000
269 11.8000000000
325 12.0000000000
351 12.2000000000
355 12.4000000000
381 12.6000000000
389 12.8000000000
425 13.0000000000
467 13.4000000000
473 13.6000000000
548 13.8000000000
570 14.0000000000
598 14.2000000000
621 14.4000000000
686 14.6000000000
726 14.8000000000
835 15.0000000000
888 15.2000000000
956 15.4000000000
1114 15.6000000000
1212 15.8000000000
1862 16.0000000000
200020 15.8000000000
evaluations raw_y
1 7.6000000000
2 9.4000000000
57 9.6000000000
66 9.8000000000
89 10.8000000000
111 11.0000000000
141 11.2000000000
150 11.6000000000
182 12.0000000000
222 12.2000000000
223 12.6000000000
265 12.8000000000
299 13.0000000000
304 13.2000000000
351 13.4000000000
393 13.8000000000
423 14.0000000000
429 14.2000000000
510 14.4000000000
539 14.6000000000
545 15.0000000000
588 15.2000000000
644 15.4000000000
709 15.8000000000
843 16.0000000000
881 16.2000000000
1060 16.4000000000
1222 16.6000000000
200020 16.0000000000
evaluations raw_y
1 6.6000000000
2 8.2000000000
8 9.0000000000
80 9.4000000000
122 9.6000000000
128 9.8000000000
161 10.6000000000
189 11.4000000000
308 11.6000000000
315 12.4000000000
351 12.8000000000
429 13.0000000000
433 13.4000000000
479 13.6000000000
526 13.8000000000
608 14.0000000000
629 14.4000000000
744 14.6000000000
789 14.8000000000
862 15.0000000000
953 15.2000000000
989 15.4000000000
1076 15.6000000000
1104 16.0000000000
1227 16.2000000000
1316 16.4000000000
1441 16.6000000000
1461 16.8000000000
1826 17.0000000000
200020 16.4000000000
evaluations raw_y
1 7.6000000000
11 7.8000000000
13 8.0000000000
26 8.2000000000
29 9.2000000000
54 9.4000000000
122 10.2000000000
188 10.4000000000
189 10.6000000000
191 11.0000000000
267 11.6000000000
308 11.8000000000
318 12.4000000000
365 12.6000000000
382 12.8000000000
434 13.0000000000
446 13.2000000000
501 13.6000000000
553 13.8000000000
603 14.2000000000
663 14.4000000000
702 14.6000000000
812 14.8000000000
890 15.2000000000
943 15.4000000000
991 15.6000000000
1315 15.8000000000
2192 16.0000000000
200020 15.8000000000
evaluations raw_y
1 8.0000000000
3 8.6000000000
22 8.8000000000
42 9.6000000000
67 9.8000000000
122 10.4000000000
148 10.6000000000
151 11.0000000000
193 11.2000000000
208 12.0000000000
278 12.2000000000
304 12.4000000000
326 12.6000000000
363 12.8000000000
392 13.2000000000
415 13.6000000000
473 13.8000000000
501 14.0000000000
520 14.2000000000
542 14.4000000000
625 14.8000000000
664 15.0000000000
669 15.2000000000
768 15.4000000000
789 15.6000000000
886 15.8000000000
916 16.0000000000
942 16.2000000000
998 16.4000000000
1063 16.6000000000
1113 16.8000000000
200020 16.8000000000
evaluations raw_y
1 5.8000000000
5 6.0000000000
7 6.4000000000
8 8.0000000000
27 8.8000000000
34 10.2000000000
84 10.4000000000
107 10.6000000000
144 11.0000000000
148 11.2000000000
228 11.4000000000
267 11.6000000000
288 11.8000000000
308 12.0000000000
322 12.4000000000
343 13.4000000000
405 13.6000000000
444 13.8000000000
486 14.6000000000
556 15.2000000000
675 15.4000000000
719 15.6000000000
765 15.8000000000
911 16.0000000000
1014 16.2000000000
1136 16.6000000000
200020 16.6000000000
evaluations raw_y
1 7.8000000000
7 8.6000000000
37 9.4000000000
60 9.8000000000
75 10.0000000000
80 10.2000000000
144 11.4000000000
184 11.6000000000
236 11.8000000000
244 12.0000000000
307 12.2000000000
319 12.4000000000
331 12.8000000000
361 13.4000000000
423 13.6000000000
488 13.8000000000
511 14.0000000000
590 14.2000000000
633 14.4000000000
651 14.6000000000
706 14.8000000000
718 15.0000000000
803 15.2000000000
806 15.4000000000
866 15.6000000000
953 15.8000000000
1102 16.0000000000
1471 16.2000000000
200020 15.8000000000
evaluations raw_y
1 8.2000000000
8 9.4000000000
37 9.6000000000
123 10.0000000000
182 10.2000000000
206 10.4000000000
225 10.8000000000
267 11.2000000000
288 11.4000000000
300 11.6000000000
326 11.8000000000
343 12.0000000000
363 12.2000000000
385 12.6000000000
388 13.0000000000
459 13.4000000000
535 13.6000000000
560 14.0000000000
581 14.2000000000
625 14.6000000000
689 14.8000000000
743 15.2000000000
810 15.4000000000
823 15.6000000000
882 15.8000000000
1032 16.0000000000
1205 16.2000000000
200020 16.0000000000
