evaluations raw_y
1 -0.5310065565
2 -0.5152863063
3 -0.4508452893
14 -0.4482475777
29 -0.4445860614
66 -0.4327048782
71 -0.4300967643
107 -0.4272022817
117 -0.4235805154
138 -0.4121021772
188 -0.4010608090
190 -0.3903455338
239 -0.3846462427
249 -0.3839949577
263 -0.3721415080
305 -0.3715770108
328 -0.3687862299
350 -0.3685292807
360 -0.3654268035
385 -0.3599010914
424 -0.3578900461
425 -0.3569896191
439 -0.3560315096
447 -0.3496604504
474 -0.3483911967
510 -0.3477788703
530 -0.3462686642
626 -0.3440347395
629 -0.3439083341
645 -0.3413744337
674 -0.3329163761
742 -0.3290266929
824 -0.3290215243
827 -0.3280475503
854 -0.3256659157
876 -0.3217667555
906 -0.3208429153
944 -0.3197037225
1001 -0.3189627052
1017 -0.3185112924
1044 -0.3177702750
1107 -0.3172901550
1202 -0.3135104080
1312 -0.3132188988
1356 -0.3113363979
1373 -0.3108562779
1429 -0.3104416326
1451 -0.3094185629
1529 -0.3090313672
1560 -0.3080213032
1604 -0.3062700927
1662 -0.3060546467
1665 -0.3057899727
1668 -0.3039467133
2090 -0.3039383282
2172 -0.3034665933
2214 -0.3034582082
2491 -0.3030435628
6181 -0.3030022970
6233 -0.3015283025
6808 -0.3007423801
7859 -0.3006245725
32267 -0.2992643749
32771 -0.2939051792
32858 -0.2927625451
32937 -0.2920664943
200020 -0.2968398818
evaluations raw_y
1 -0.5273610314
3 -0.4941510422
4 -0.4579786231
16 -0.4574230106
22 -0.4396340228
42 -0.4387456307
61 -0.4376898234
69 -0.4319515196
78 -0.4155543741
117 -0.4087700868
138 -0.3879548595
184 -0.3812645452
208 -0.3812417144
222 -0.3747803359
248 -0.3715993818
261 -0.3667718300
306 -0.3623388787
335 -0.3572471355
350 -0.3490447293
409 -0.3457457991
465 -0.3447367872
481 -0.3385475430
502 -0.3345415971
560 -0.3342100231
562 -0.3327174569
576 -0.3321812669
641 -0.3321331634
644 -0.3295927830
667 -0.3287185082
744 -0.3268943680
756 -0.3261300243
798 -0.3256538344
801 -0.3248894907
837 -0.3213098365
886 -0.3207838194
902 -0.3204324083
925 -0.3203087961
946 -0.3187001648
948 -0.3160460348
982 -0.3150449944
1004 -0.3142430824
1082 -0.3132420420
1113 -0.3129180037
1115 -0.3122330301
1135 -0.3113178843
1143 -0.3112493280
1177 -0.3096553073
1234 -0.3084689372
1248 -0.3066220648
1387 -0.3064837739
1451 -0.3061419447
1691 -0.3060155393
1744 -0.3058187559
1787 -0.3058103707
1862 -0.3054863325
2023 -0.3047240347
2337 -0.3045976292
2764 -0.3016383236
2792 -0.3005082836
2801 -0.2992779934
25432 -0.2958002651
200020 -0.2958002651
evaluations raw_y
1 -0.4857216350
5 -0.4406577431
30 -0.4346263357
101 -0.4279405588
106 -0.4217924320
162 -0.4168678119
211 -0.4139047928
221 -0.4115414114
230 -0.4047098914
249 -0.3966075231
290 -0.3928913151
297 -0.3917325168
303 -0.3826430593
342 -0.3807883686
373 -0.3802258993
387 -0.3763668315
397 -0.3750155832
432 -0.3723029564
453 -0.3717804511
455 -0.3714426221
463 -0.3673163950
508 -0.3641710185
525 -0.3628401494
554 -0.3619204444
574 -0.3606227344
589 -0.3598446428
591 -0.3576964614
621 -0.3574018896
632 -0.3572532917
641 -0.3550894460
654 -0.3547476169
673 -0.3537295284
676 -0.3526375156
716 -0.3521511509
723 -0.3500057269
732 -0.3498793215
757 -0.3497988174
761 -0.3468955219
787 -0.3437152188
823 -0.3421729505
828 -0.3380576429
874 -0.3371535215
914 -0.3316860716
947 -0.3300614018
956 -0.3278399001
960 -0.3277736531
1037 -0.3266045528
1044 -0.3264610200
1162 -0.3226414626
1319 -0.3225150572
1373 -0.3224345531
1400 -0.3223753227
1401 -0.3223081476
1423 -0.3220437487
1439 -0.3208576230
1527 -0.3182182985
1541 -0.3179521586
1636 -0.3171740670
1652 -0.3144278665
1842 -0.3135233695
2134 -0.3082037336
2341 -0.3081953485
8296 -0.3080775410
8878 -0.3027183452
13871 -0.3018767300
13932 -0.3012030849
34379 -0.2965538531
200020 -0.3063496847
evaluations raw_y
1 -0.4843277380
5 -0.4608232234
22 -0.4605227792
62 -0.4335354461
106 -0.4320704701
113 -0.4236530972
119 -0.4178515370
191 -0.4163438007
198 -0.4117091861
205 -0.4071740103
228 -0.4026806918
244 -0.3975464814
287 -0.3873332361
310 -0.3870822509
311 -0.3835734592
315 -0.3827915160
338 -0.3817879069
346 -0.3816221450
350 -0.3805895729
359 -0.3785018297
363 -0.3764998755
366 -0.3728276687
381 -0.3650995182
413 -0.3639731775
424 -0.3545968005
466 -0.3513803431
469 -0.3483676541
501 -0.3428663206
537 -0.3351871285
542 -0.3297483444
592 -0.3263080552
651 -0.3256310531
707 -0.3253070148
718 -0.3247435857
731 -0.3240286068
805 -0.3239779634
832 -0.3230275664
842 -0.3216985150
857 -0.3175101487
890 -0.3173837433
927 -0.3165091084
998 -0.3139673155
1062 -0.3139515217
1121 -0.3137369580
1130 -0.3128064188
1152 -0.3122523287
1155 -0.3086318858
1252 -0.3062986638
1357 -0.3050271555
1596 -0.3046955814
1639 -0.3044886719
1796 -0.3006039913
14664 -0.2971262630
17160 -0.2958573279
17239 -0.2958002651
29281 -0.2950053886
30317 -0.2928002742
200020 -0.2977011103
evaluations raw_y
1 -0.5191447442
2 -0.4911218220
8 -0.4908446648
9 -0.4744038607
20 -0.4572271448
26 -0.4548398038
93 -0.4363399514
170 -0.4301357927
191 -0.4280048431
198 -0.4255263777
203 -0.4209134829
221 -0.4189861380
227 -0.4169153681
238 -0.4070407061
262 -0.3993370166
264 -0.3954733005
267 -0.3953895553
305 -0.3727930124
350 -0.3662401808
402 -0.3638818097
423 -0.3588920142
440 -0.3569667968
467 -0.3526658997
473 -0.3490954542
551 -0.3468697500
555 -0.3449244917
599 -0.3407289828
623 -0.3400947382
636 -0.3390069676
693 -0.3365279032
717 -0.3357352029
719 -0.3290477488
757 -0.3287161748
815 -0.3264162185
830 -0.3260846445
890 -0.3247373017
920 -0.3236311117
925 -0.3232789742
938 -0.3228883247
945 -0.3215680787
1002 -0.3180437866
1106 -0.3166140902
1147 -0.3149440463
1149 -0.3146751156
1233 -0.3111536143
1327 -0.3098209999
1388 -0.3090315712
1406 -0.3076158855
1535 -0.3071331810
1590 -0.3068481728
1598 -0.3063550895
1623 -0.3057385072
1701 -0.3052583872
2030 -0.3051319817
2326 -0.3032919004
2390 -0.3030625667
2398 -0.3008133863
2400 -0.2998123459
8180 -0.2996945384
8388 -0.2943353426
17320 -0.2928200823
200020 -0.2928200823
evaluations raw_y
1 -0.5693665621
2 -0.5195590824
4 -0.5189798988
6 -0.5044565687
8 -0.4758909086
15 -0.4708567919
38 -0.4662055609
46 -0.4596593761
59 -0.4561699076
65 -0.4512320906
71 -0.4329063354
107 -0.4213270970
143 -0.3904650026
257 -0.3851018532
261 -0.3823241180
271 -0.3779510804
294 -0.3772890353
301 -0.3752894316
308 -0.3743407782
345 -0.3674692778
381 -0.3670926003
428 -0.3577566002
436 -0.3537179442
494 -0.3460278214
536 -0.3459532659
544 -0.3438122474
553 -0.3397883225
585 -0.3395115416
595 -0.3325830987
598 -0.3306549403
739 -0.3286388977
762 -0.3280385910
809 -0.3272705179
816 -0.3247621075
854 -0.3247225581
871 -0.3236575311
893 -0.3229530951
933 -0.3222370843
982 -0.3190750438
1058 -0.3187867243
1078 -0.3185051598
1108 -0.3173127297
1181 -0.3168326097
1251 -0.3127988421
1384 -0.3097009584
1390 -0.3078980060
1471 -0.3068889941
1638 -0.3066968127
2227 -0.3062166927
2422 -0.3049864026
29656 -0.3043575128
32145 -0.3035715904
46981 -0.3027339458
47046 -0.3017329055
54791 -0.3004069076
200020 -0.3069403107
evaluations raw_y
1 -0.5278322827
3 -0.4512793923
14 -0.4483223167
30 -0.4480199662
55 -0.4333897962
67 -0.4278665466
79 -0.4147581810
126 -0.4105120487
153 -0.4077394734
175 -0.4031725283
190 -0.4024883293
201 -0.3980157425
211 -0.3975055846
221 -0.3930476438
238 -0.3902406820
239 -0.3892535262
262 -0.3885094973
270 -0.3837072788
289 -0.3654588246
302 -0.3653671208
348 -0.3619160385
382 -0.3614151092
385 -0.3612721249
392 -0.3589847301
404 -0.3585093738
