evaluations raw_y
1 1.0000000000
2 6.0000000000
5 8.0000000000
16 9.0000000000
29 11.0000000000
254 14.0000000000
276 17.0000000000
352 18.0000000000
396 19.0000000000
570 24.0000000000
748 25.0000000000
1155 26.0000000000
1238 28.0000000000
1265 29.0000000000
1813 31.0000000000
1846 32.0000000000
1963 33.0000000000
2035 35.0000000000
2119 37.0000000000
2239 41.0000000000
2620 44.0000000000
3106 46.0000000000
3369 47.0000000000
3516 48.0000000000
3639 50.0000000000
3713 51.0000000000
3769 52.0000000000
3786 53.0000000000
4181 54.0000000000
4371 56.0000000000
4436 57.0000000000
4676 59.0000000000
4817 61.0000000000
4830 64.0000000000
4853 65.0000000000
5301 66.0000000000
5368 67.0000000000
5553 71.0000000000
5597 73.0000000000
5823 74.0000000000
5943 76.0000000000
6703 79.0000000000
6838 81.0000000000
6913 89.0000000000
7124 90.0000000000
7261 93.0000000000
7422 95.0000000000
7605 98.0000000000
8393 100.0000000000
8420 16.0000000000
evaluations raw_y
1 3.0000000000
5 4.0000000000
20 5.0000000000
67 7.0000000000
146 9.0000000000
189 15.0000000000
256 16.0000000000
276 19.0000000000
304 20.0000000000
478 21.0000000000
506 22.0000000000
596 23.0000000000
629 27.0000000000
766 28.0000000000
846 29.0000000000
882 31.0000000000
1008 32.0000000000
1057 33.0000000000
1195 38.0000000000
1318 40.0000000000
1464 42.0000000000
1616 44.0000000000
1621 46.0000000000
1859 51.0000000000
1899 53.0000000000
1995 54.0000000000
2312 55.0000000000
2455 56.0000000000
2492 58.0000000000
2842 59.0000000000
3108 60.0000000000
3279 61.0000000000
3519 64.0000000000
3568 66.0000000000
3710 67.0000000000
3897 70.0000000000
4268 72.0000000000
4905 74.0000000000
6062 75.0000000000
6914 79.0000000000
7534 80.0000000000
7578 81.0000000000
8309 83.0000000000
8494 85.0000000000
8542 86.0000000000
8669 87.0000000000
8729 88.0000000000
8920 89.0000000000
9080 90.0000000000
9354 91.0000000000
9662 95.0000000000
10536 97.0000000000
10806 98.0000000000
11269 100.0000000000
11300 49.0000000000
evaluations raw_y
1 0.0000000000
2 1.0000000000
3 5.0000000000
97 13.0000000000
185 14.0000000000
244 16.0000000000
280 18.0000000000
418 19.0000000000
638 20.0000000000
959 22.0000000000
995 23.0000000000
1021 26.0000000000
1768 27.0000000000
1800 30.0000000000
2029 34.0000000000
2103 36.0000000000
2146 37.0000000000
2232 38.0000000000
2447 39.0000000000
2481 41.0000000000
2712 43.0000000000
3000 44.0000000000
3048 45.0000000000
3140 47.0000000000
3186 48.0000000000
3357 50.0000000000
3557 51.0000000000
3604 54.0000000000
3759 56.0000000000
4385 58.0000000000
4609 59.0000000000
5259 60.0000000000
5451 61.0000000000
