evaluations raw_y
1 2874.0000000000
28 2889.0000000000
31 3033.0000000000
33 3168.0000000000
37 3255.0000000000
82 3391.0000000000
145 3501.0000000000
148 3512.0000000000
149 3733.0000000000
195 3824.0000000000
200 3902.0000000000
244 4006.0000000000
263 4023.0000000000
279 4173.0000000000
308 4192.0000000000
341 4271.0000000000
383 4287.0000000000
386 4349.0000000000
397 4353.0000000000
401 4382.0000000000
421 4501.0000000000
477 4509.0000000000
507 4559.0000000000
533 4569.0000000000
562 4576.0000000000
566 4608.0000000000
572 4628.0000000000
587 4640.0000000000
627 4666.0000000000
697 4683.0000000000
718 4687.0000000000
727 4695.0000000000
744 4704.0000000000
759 4770.0000000000
799 4794.0000000000
839 4846.0000000000
919 4861.0000000000
941 4872.0000000000
947 4879.0000000000
963 4891.0000000000
995 4918.0000000000
1003 4925.0000000000
1061 4933.0000000000
1064 4941.0000000000
1102 4966.0000000000
1106 4999.0000000000
1227 5005.0000000000
1279 5007.0000000000
1378 5009.0000000000
1455 5011.0000000000
1489 5020.0000000000
1556 5022.0000000000
1592 5037.0000000000
1652 5039.0000000000
1699 5040.0000000000
2025 5050.0000000000
2060 4956.0000000000
evaluations raw_y
1 2301.0000000000
2 2426.0000000000
5 2650.0000000000
6 2931.0000000000
24 2993.0000000000
40 2998.0000000000
54 3159.0000000000
57 3193.0000000000
71 3205.0000000000
78 3388.0000000000
103 3418.0000000000
119 3425.0000000000
126 3534.0000000000
158 3542.0000000000
170 3549.0000000000
180 3564.0000000000
186 3606.0000000000
189 3613.0000000000
197 3726.0000000000
206 3787.0000000000
228 3837.0000000000
246 3867.0000000000
254 3933.0000000000
256 4010.0000000000
274 4022.0000000000
302 4202.0000000000
361 4253.0000000000
382 4295.0000000000
388 4333.0000000000
405 4397.0000000000
434 4415.0000000000
459 4527.0000000000
508 4546.0000000000
522 4640.0000000000
561 4644.0000000000
570 4657.0000000000
598 4706.0000000000
637 4711.0000000000
681 4716.0000000000
728 4720.0000000000
754 4850.0000000000
853 4860.0000000000
858 4883.0000000000
888 4885.0000000000
897 4893.0000000000
912 4923.0000000000
950 4937.0000000000
968 4948.0000000000
989 4976.0000000000
1022 5009.0000000000
1098 5015.0000000000
1242 5016.0000000000
1256 5017.0000000000
1297 5018.0000000000
1315 5022.0000000000
1319 5030.0000000000
1346 5031.0000000000
1383 5033.0000000000
1412 5034.0000000000
1462 5036.0000000000
1499 5037.0000000000
1506 5041.0000000000
1554 5043.0000000000
1583 5046.0000000000
1604 5049.0000000000
1960 5050.0000000000
1980 5049.0000000000
evaluations raw_y
1 2920.0000000000
20 3002.0000000000
21 3070.0000000000
42 3094.0000000000
44 3145.0000000000
49 3328.0000000000
74 3347.0000000000
81 3354.0000000000
91 3515.0000000000
115 3548.0000000000
141 3616.0000000000
155 3717.0000000000
172 3743.0000000000
181 3854.0000000000
211 3856.0000000000
223 3996.0000000000
252 4044.0000000000
267 4206.0000000000
324 4218.0000000000
340 4235.0000000000
343 4237.0000000000
357 4279.0000000000
366 4288.0000000000
381 4356.0000000000
395 4380.0000000000
411 4404.0000000000
429 4415.0000000000
453 4426.0000000000
459 4457.0000000000
464 4489.0000000000
477 4508.0000000000
493 4527.0000000000
504 4582.0000000000
549 4631.0000000000
554 4658.0000000000
595 4684.0000000000
642 4695.0000000000
656 4698.0000000000
663 4705.0000000000
668 4720.0000000000
699 4724.0000000000
711 4733.0000000000
714 4735.0000000000
730 4807.0000000000
743 4857.0000000000
